,ID,Relation,Source,Target,PT
302,,,,component_part,parte_componente
303,,,,component,componente
304,,,,constituent,constituinte
305,,,,relation,relação
306,,,,abstraction,abstração
307,,,,abstract_entity,entidade_abstrata
308,,,,composto,composto_orgânico
310,L02_17,hypernyms - misc,grapefruit,,toranja
311,,,,citrus,citrino
312,,,,citrus_fruit,DUPLICATE_citrino
313,,,,citrous_fruit,DUPLICATE_citrino
314,,,,fruit,fruto
315,,,,edible_fruit,fruto_comestível
316,,,,produce,produto
317,,,,green_goods,fruta_e_vegetais
318,,,,green_groceries,DUPLICATE_fruta_e_vegetais
319,,,,garden_truck,DUPLICATE_fruta_e_vegetais
320,,,,food,comida
321,,,,matter,matéria
322,,,,natural_object,objecto_natural
323,,,,physical_entity,entidade_física
324,,,,unit,unidade
325,,,,entity,entidade
326,,,,object,objecto
327,,,,physical_object,objeto_físico
329,L02_18,hypernyms - misc,hairnet,,rede_de_cabelo
330,,,,net,rede
331,,,,network,DUPLICATE_rede
332,,,,mesh,malha
333,,,,meshing,DUPLICATE_malha
334,,,,meshwork,DUPLICATE_malha
335,,,,fabric,tecido
336,,,,cloth,pano
337,,,,material,material
338,,,,textile,têxtil
339,,,,artifact,artefacto
340,,,,artefact,DUPLICATE_artefacto
341,,,,unit,unidade
342,,,,object,objeto
343,,,,physical_object,objeto_físico
344,,,,physical_entity,entidade_física
345,,,,entity,entidade
347,L02_19,hypernyms - misc,hairpin,,alfinete_de_cabelo
348,,,,pin,alfinete
349,,,,fastener,colchete
350,,,,fastening,DUPLICATE_colchete
351,,,,holdfast,gancho
352,,,,fixing,fixação
353,,,,restraint,restrição
354,,,,constraint,constrangimento
355,,,,device,dispositivo
356,,,,artifact,artefacto
357,,,,artefact,DUPLICATE_artefacto
358,,,,unit,unidade
359,,,,object,objeto
360,,,,physical_object,objeto_físico
361,,,,physical_entity,entidade_física
362,,,,entity,entidade
364,L02_20,hypernyms - misc,hamburger,,hambúrguer
365,,,,sandwich,sanduíche
366,,,,snack_food,aperitivos
367,,,,dish,prato
368,,,,nutriment,nutrição
369,,,,nourishment,DUPLICATE_nutrição
370,,,,nutrition,DUPLICATE_nutrição
371,,,,sustenance,sustento
372,,,,aliment,alimento
373,,,,alimentation,alimentação
374,,,,victuals,vitualhas
375,,,,food,comida
376,,,,nutrient,nutriente
377,,,,substance,substância
378,,,,matter,matéria
379,,,,physical_entity,entidade_física
380,,,,entity,entidade
381,,,,beef,bife
382,,,,boeuf,DUPLICATE_bife
383,,,,meat,carne
384,,,,solid_food,comida_sólida
385,,,,solid,sólido
387,L02_21,hypernyms - misc,jacket,,jaqueta
388,,,,clothes,roupa
389,,,,coat,casaco
390,,,,overgarment,roupa_exterior
391,,,,outer_garment,DUPLICATE_roupa_exterior
392,,,,garment,vestuário
393,,,,clothing,DUPLICATE_vestuário
394,,,,article_of_clothing,artigo_de_vestuário
395,,,,vesture,vestimenta
396,,,,wear,DUPLICATE_roupa
397,,,,wearable,vestível
398,,,,habiliment,traje
399,,,,consumer_goods,bens_de_consumo
400,,,,covering,cobertura
401,,,,commodity,produto
402,,,,trade_good,bem_comercial
403,,,,good,bem
404,,,,artifact,artefacto
405,,,,artefact,DUPLICATE_artefacto
406,,,,unit,unidade
407,,,,object,objeto
408,,,,physical_object,objeto_físico
409,,,,physical_entity,entidade_física
410,,,,entity,entidade
412,L02_22,hypernyms - misc,jeans,,calças_de_ganga
413,,,,trousers,calças
414,,,,pants,DUPLICATE_calças
415,,,,workwear,roupa_de_trabalho
416,,,,garment,vestuário
417,,,,clothing,DUPLICATE_vestuário
418,,,,clothes,roupa
419,,,,article_of_clothing,artigo_de_vestuário
420,,,,vesture,vestimenta
421,,,,wear,DUPLICATE_roupa
422,,,,wearable,vestível
423,,,,habiliment,traje
424,,,,consumer_goods,bens_de_consumo
425,,,,covering,cobertura
426,,,,commodity,produto
427,,,,trade_good,bem_comercial
428,,,,good,bem
429,,,,artifact,artefacto
430,,,,artefact,DUPLICATE_artefacto
431,,,,unit,unidade
432,,,,object,objeto
433,,,,physical_object,objeto_físico
434,,,,physical_entity,entidade_física
435,,,,entity,entidade
437,L02_23,hypernyms - misc,juicer,,espremedor
438,,,,utensil,utensílio
439,,,,physical_entity,entidade_física
440,,,,entity,entidade
441,,,,unit,unidade
442,,,,object,objecto
443,,,,physical_object,objeto_físico
444,,,,squeezer,DUPLICATE_espremedor
445,,,,kitchen_utensil,utensílio_de_cozinha
446,,,,implement,instrumento
447,,,,artifact,artefacto
448,,,,artefact,DUPLICATE_artefacto
450,L02_24,hypernyms - misc,lemon,,limão
451,,,,citrus,citrino
452,,,,citrus_fruit,DUPLICATE_citrino
453,,,,citrous_fruit,DUPLICATE_citrino
454,,,,fruit,fruto
455,,,,edible_fruit,fruto_comestível
456,,,,produce,produto
457,,,,green_goods,fruta_e_vegetais
458,,,,green_groceries,DUPLICATE_fruta_e_vegetais
459,,,,garden_truck,NO_TRANSLATION
460,,,,food,comida
461,,,,matter,matéria
462,,,,natural_object,objecto_natural
463,,,,physical_entity,entidade_física
464,,,,unit,unidade
465,,,,entity,entidade
466,,,,object,objecto
467,,,,physical_object,objeto_físico
469,L02_25,hypernyms - misc,lotion,,loção
470,,,,toiletry,higiene
471,,,,toilet_articles,artigos_de_higiene
472,,,,artifact,artefacto
473,,,,artefact,DUPLICATE_artefacto
474,,,,unit,unidade
475,,,,object,objeto
476,,,,physical_object,objeto_físico
477,,,,physical_entity,entidade_física
478,,,,entity,entidade
480,L02_26,hypernyms - misc,mascara,,máscara
481,,,,makeup,maquiagem
482,,,,make-up,DUPLICATE_maquiagem
483,,,,war_paint,pintura_de_guerra
484,,,,cosmetic,cosmético
485,,,,toiletry,higiente
486,,,,toilet_articles,artigos_de_higiene
487,,,,artifact,artefacto
488,,,,artefact,DUPLICATE_artefacto
489,,,,unit,unidade
490,,,,object,objeto
491,,,,physical_object,objeto_físico
492,,,,physical_entity,entidade_física
493,,,,entity,entidade
495,L02_27,hypernyms - misc,necklace,,colar
496,,,,jewelry,joalharia
497,,,,jewellery,DUPLICATE_joalharia
498,,,,adornment,adorno
499,,,,decoration,decoração
500,,,,ornament,ornamento
501,,,,ornamentation,ornamentação
502,,,,artifact,artefacto
503,,,,artefact,DUPLICATE_artefacto
504,,,,unit,unidade
505,,,,object,objeto
506,,,,physical_object,objeto_físico
507,,,,physical_entity,entidade_física
508,,,,entity,entidade
510,L02_28,hypernyms - misc,notebook,,livro_de_apontamentos
511,,,,book,livro
512,,,,volume,volume
513,,,,product,produto
514,,,,production,produção
515,,,,creation,criação
516,,,,artifact,artefacto
517,,,,artefact,DUPLICATE_artefacto
518,,,,unit,unidade
519,,,,object,objeto
520,,,,physical_object,objeto_físico
521,,,,physical_entity,entidade_física
522,,,,entity,entidade
523,,,,portable_computer,computador_portátil
524,,,,personal_computer,computador_pessoal
525,,,,pc,DUPLICATE_computador_pessoal
526,,,,microcomputer,microcomputador
527,,,,digital_computer,computador_digital
528,,,,computer,computador
529,,,,computing_machine,máquina_computacional
530,,,,computing_device,dispositivo_computacional
531,,,,data_processor,processador_de_dados
532,,,,electronic_computer,computador_electrónico
533,,,,information_processing_system,sistema_de_processamento_de_informação
534,,,,machine,máquina
535,,,,device,dispositivo
537,L02_29,hypernyms - misc,notepad,,bloco_de_notas
538,,,,pad,maço
539,,,,pad_of_paper,maço_de_papel
540,,,,tablet,bloco
541,,,,paper,papel
542,,,,material,material
543,,,,stuff,coisa
544,,,,substance,substância
545,,,,matter,matéria
546,,,,part,parte
547,,,,portion,porção
548,,,,component_part,parte_componente
549,,,,component,componente
550,,,,constituent,constituinte
551,,,,physical_entity,entidade_física
552,,,,relation,relação
553,,,,entity,entidade
554,,,,abstraction,abstracção
555,,,,abstract_entity,entidade_abstracta
557,L02_30,hypernyms - misc,pastry,,pastelaria
558,,,,food,comida
559,,,,dough,massa
560,,,,concoction,mistura
561,,,,mixture,DUPLICATE_mistura
562,,,,intermixture,DUPLICATE_mistura
563,,,,foodstuff,produtos_alimentícios
564,,,,food_product,produto_alimentar
565,,,,nutrient,nutriente
566,,,,substance,substância
567,,,,matter,matéria
568,,,,physical_entity,entidade_física
569,,,,entity,entidade
570,,,,baked_goods,produtos_assados_no_forno
571,,,,solid_food,comida_sólida
572,,,,solid,sólido
574,L02_31,hypernyms - misc,peach,,pêssego
575,,,,fruit,fruto
576,,,,drupe,drupa
577,,,,stone_fruit,fruto_de_caroço
578,,,,edible_fruit,fruto_comestível
579,,,,produce,produto
580,,,,green_goods,fruta_e_vegetais
581,,,,green_groceries,DUPLICATE_fruta_e_vegetais
582,,,,garden_truck,DUPLICATE_fruta_e_vegetais
583,,,,food,comida
584,,,,matter,matéria
585,,,,natural_object,objecto_natural
586,,,,physical_entity,entidade_física
587,,,,unit,unidade
588,,,,entity,entidade
589,,,,object,objecto
590,,,,physical_object,objeto_físico
592,L02_32,hypernyms - misc,perfume,,perfume
593,,,,toiletry,higiene
594,,,,toilet_articles,artigos_de_higiene
595,,,,artifact,artefacto
596,,,,artefact,DUPLICATE_artefacto
597,,,,unit,unidade
598,,,,object,objeto
599,,,,physical_object,objeto_físico
600,,,,physical_entity,entidade_física
601,,,,entity,entidade
603,L02_33,hypernyms - misc,photo,,fotografia
604,,,,picture,retrato
605,,,,image,imagem
606,,,,representation,representação
607,,,,creation,criação
608,,,,artifact,artefacto
609,,,,artefact,DUPLICATE_artefacto
610,,,,unit,unidade
611,,,,object,objeto
612,,,,physical_object,objeto_físico
613,,,,physical_entity,entidade_física
614,,,,entity,entidade
616,L02_34,hypernyms - misc,pie,,tarte
617,,,,pastry,pastelaria
618,,,,baked_goods,produtos_assados_no_forno
619,,,,food,comida
620,,,,solid_food,comida_sólida
621,,,,solid,sólido
622,,,,matter,matéria
623,,,,physical_entity,entidade_física
624,,,,entity,entidade
625,,,,indo-european,indo-europeu
626,,,,indo-european_language,língua_indo-europeia
627,,,,indo-hittite,indo_hitita
628,,,,natural_language,língua_natural
629,,,,tongue,língua
630,,,,language,linguagem
631,,,,linguistic_communication,comunicação_linguística
632,,,,communication,comunicação
633,,,,abstraction,abstracção
634,,,,abstract_entity,entidade_abstracta
636,L02_35,hypernyms - misc,plum,,ameixa
637,,,,fruit,fruto
638,,,,drupe,drupa
639,,,,stone_fruit,fruto_de_caroço
640,,,,edible_fruit,fruto_comestível
641,,,,produce,produto
642,,,,green_goods,fruta_e_vegetais
643,,,,green_groceries,DUPLICATE_fruta_e_vegetais
644,,,,garden_truck,DUPLICATE_fruta_e_vegetais
645,,,,food,comida
646,,,,matter,matéria
647,,,,natural_object,objecto_natural
648,,,,physical_entity,entidade_física
649,,,,unit,unidade
650,,,,entity,entidade
651,,,,object,objecto
652,,,,physical_object,objeto_físico
654,L02_36,hypernyms - misc,postcard,,carta_postal
655,,,,card,carta
656,,,,correspondence,correspondência
657,,,,first_class,primeira_classe
658,,,,1st_class,DUPLICATE_primeira_classe
659,,,,first-class_mail,correio_de_primeira_classe
660,,,,1st-class_mail,DUPLICATE_correio_de_primeira_classe
661,,,,written_communication,comunicação_escrita
662,,,,written_language,língua_escrita
663,,,,black_and_white,preto_e_branco
664,,,,mail,correio
665,,,,communication,comunicação
666,,,,message,mensagem
667,,,,abstraction,abstracção
668,,,,abstract_entity,entidade_abstracta
669,,,,entity,entidade
671,L02_37,hypernyms - misc,shelf,,prateleira
672,,,,furniture,mobília
673,,,,support,suporte
674,,,,piece_of_furniture,peça_de_mobiliário
675,,,,article_of_furniture,artigo_de_mobiliário
676,,,,furnishing,mobiliário
677,,,,artifact,artefacto
678,,,,artefact,DUPLICATE_artefacto
679,,,,unit,unidade
680,,,,object,objeto
681,,,,physical_object,objeto_físico
682,,,,physical_entity,entidade_física
683,,,,entity,entidade
685,L02_38,hypernyms - misc,shirt,,camisa
686,,,,clothes,roupa
687,,,,garment,vestuário
688,,,,clothing,DUPLICATE_vestuário
689,,,,article_of_clothing,artigo_de_vestuário
690,,,,vesture,vestimenta
691,,,,wear,DUPLICATE_roupa
692,,,,wearable,vestível
693,,,,habiliment,traje
694,,,,consumer_goods,bens_de_consumo
695,,,,covering,cobertura
696,,,,commodity,produto
697,,,,trade_good,bem_comercial
698,,,,good,bem
699,,,,artifact,artefacto
700,,,,artefact,DUPLICATE_artefacto
701,,,,unit,unidade
702,,,,object,objeto
703,,,,physical_object,objeto_físico
704,,,,physical_entity,entidade_física
705,,,,entity,entidade
707,L02_39,hypernyms - misc,sidewalk,,passeio
708,,,,walk,DUPLICATE_passeio
709,,,,walkway,DUPLICATE_passeio
710,,,,paseo,DUPLICATE_passeio
711,,,,path,caminho
712,,,,way,DUPLICATE_caminho
713,,,,artifact,artefacto
714,,,,artefact,DUPLICATE_artefacto
715,,,,unit,unidade
716,,,,object,objeto
717,,,,physical_object,objeto_físico
718,,,,physical_entity,entidade_física
719,,,,entity,entidade
721,L02_40,hypernyms - misc,skirt,,saia
722,,,,clothes,roupa
723,,,,garment,vestuário
724,,,,clothing,DUPLICATE_vestuário
725,,,,article_of_clothing,artigo_de_vestuário
726,,,,vesture,vestimenta
727,,,,wear,DUPLICATE_roupa
728,,,,wearable,vestível
729,,,,habiliment,traje
730,,,,consumer_goods,bens_de_consumo
731,,,,covering,cobertura
732,,,,commodity,produto
733,,,,trade_good,bem_comercial
734,,,,good,bem
735,,,,artifact,artefacto
736,,,,artefact,DUPLICATE_artefacto
737,,,,unit,unidade
738,,,,object,objeto
739,,,,physical_object,objeto_físico
740,,,,physical_entity,entidade_física
741,,,,entity,entidade
743,L02_41,hypernyms - misc,sofa,,sofá
744,,,,furniture,mobília
745,,,,seat,assento
746,,,,piece_of_furniture,peça_de_mobiliário
747,,,,article_of_furniture,artigo_de_mobiliário
748,,,,furnishing,mobiliário
749,,,,artifact,artefacto
750,,,,artefact,DUPLICATE_artefacto
751,,,,unit,unidade
752,,,,object,objeto
753,,,,physical_object,objeto_físico
754,,,,physical_entity,entidade_física
755,,,,entity,entidade
757,L02_42,hypernyms - misc,stapler,,agrafador
758,,,,device,dispositivo
759,,,,machine,máquina
760,,,,artifact,artefacto
761,,,,artefact,DUPLICATE_artefacto
762,,,,unit,unidade
763,,,,object,objeto
764,,,,physical_object,objeto_físico
765,,,,physical_entity,entidade_física
766,,,,entity,entidade
768,L02_43,hypernyms - misc,sunscreen,,protector_solar
769,,,,cream,creme
770,,,,lotion,loção
771,,,,ointment,pomada
772,,,,emollient,emoliente
773,,,,toiletry,higiene
774,,,,toilet_articles,artigos_de_higiene
775,,,,artifact,artefacto
776,,,,artefact,DUPLICATE_artefacto
777,,,,unit,unidade
778,,,,object,objeto
779,,,,physical_object,objeto_físico
780,,,,physical_entity,entidade_física
781,,,,entity,entidade
783,L02_44,hypernyms - misc,sweater,,camisola
784,,,,clothes,roupa
785,,,,garment,vestuário
786,,,,clothing,DUPLICATE_vestuário
787,,,,article_of_clothing,artigo_de_vestuário
788,,,,vesture,vestimenta
789,,,,wear,DUPLICATE_roupa
790,,,,wearable,vestível
791,,,,habiliment,traje
792,,,,consumer_goods,bens_de_consumo
793,,,,covering,cobertura
794,,,,commodity,produto
795,,,,trade_good,bem_comercial
796,,,,good,bem
797,,,,artifact,artefacto
798,,,,artefact,DUPLICATE_artefacto
799,,,,unit,unidade
800,,,,object,objeto
801,,,,physical_object,objeto_físico
802,,,,physical_entity,entidade_física
803,,,,entity,entidade
806,L02_45,hypernyms - misc,toaster,,torradeira
807,,,,appliance,aparelho
808,,,,entity,entidade
809,,,,unit,unidade
810,,,,object,objecto
811,,,,physical_object,objecto_físico
812,,,,kitchen_appliance,aparelho_de_cozinha
813,,,,home_appliance,eletrodoméstico
814,,,,household_appliance,DUPLICATE_eletrodoméstico
815,,,,durables,bens_duráveis
816,,,,durable_goods,DUPLICATE_bens_duráveis
817,,,,consumer_durables,bens_de_consumo_duráveis
818,,,,consumer_goods,bens_de_consumo
819,,,,commodity,produto
820,,,,trade_good,bem_comercial
821,,,,good,bem
822,,,,artifact,artefacto
823,,,,artefact,DUPLICATE_artefacto
824,,,,physical_entity,entidade_física
826,L02_46,hypernyms - misc,toothbrush,,escova_de_dentes
827,,,,brush,escova
828,,,,toiletry,higiene
829,,,,toilet_articles,artigos_de_higiene
830,,,,implement,instrumento
831,,,,artifact,artefacto
832,,,,artefact,DUPLICATE_artefacto
833,,,,unit,unidade
834,,,,object,objeto
835,,,,physical_object,objeto_físico
836,,,,physical_entity,entidade_física
837,,,,entity,entidade
838,,,,mustache,bigode
839,,,,moustache,DUPLICATE_bigode
840,,,,facial_hair,pelo_facial
841,,,,hair,cabelo
842,,,,body_covering,cobertura_corporal
843,,,,covering,cobertura
844,,,,natural_covering,cobertura_natural
845,,,,cover,DUPLICATE_cobertura
846,,,,natural_object,objecto_natural
848,L02_47,hypernyms - misc,tub,,banheira
849,,,,container,contentor
850,,,,vessel,vaso
851,,,,artifact,artefacto
852,,,,artefact,DUPLICATE_artefacto
853,,,,unit,unidade
854,,,,object,objeto
855,,,,physical_object,objeto_físico
856,,,,physical_entity,entidade_física
857,,,,entity,entidade
859,L02_48,hypernyms - misc,tv,,televisão
860,,,,device,dispositivo
861,,,,machine,máquina
862,,,,receiver,receptor
863,,,,receiving_system,sistema_de_recepção
864,,,,set,aparelho
865,,,,electronic_equipment,equipamento_electrónico
866,,,,equipment,equipamento
867,,,,artifact,artefacto
868,,,,artefact,DUPLICATE_artefacto
869,,,,unit,unidade
870,,,,object,objeto
871,,,,physical_object,objeto_físico
872,,,,physical_entity,entidade_física
873,,,,entity,entidade
874,,,,broadcasting,transmissão
875,,,,telecommunication,telecomunicação
876,,,,telecom,DUPLICATE_telecomunicação
877,,,,medium,meio
879,L02_49,hypernyms - misc,vase,,vaso
880,,,,jar,jarro
881,,,,vessel,vaso
882,,,,container,contentor
883,,,,artifact,artefacto
884,,,,artefact,DUPLICATE_artefacto
885,,,,unit,unidade
886,,,,object,objeto
887,,,,physical_object,objeto_físico
888,,,,physical_entity,entidade_física
889,,,,entity,entidade
891,L02_50,hypernyms - misc,wristband,,pulseira
892,,,,band,fita
893,,,,strip,DUPLICATE_fita
894,,,,slip,tira
895,,,,artifact,artefacto
896,,,,artefact,DUPLICATE_artefacto
897,,,,unit,unidade
898,,,,object,objeto
899,,,,physical_object,objeto_físico
900,,,,physical_entity,entidade_física
901,,,,entity,entidade
