,ID,Relation,Source,Target,MK
228,,,,slumber,NO_TRANSLATION
230,L07_32,synonyms - intensity,necessary,,неопходен
231,,,,essential,битен
232,,,,indispensable,NO_TRANSLATION
233,,,,vital,витален
234,,,,required,пропишан
236,L07_33,synonyms - intensity,opposed,,спротиставен
237,,,,averse,NO_TRANSLATION
238,,,,antipathetic,DUPLICATE_NO_TRANSLATION
239,,,,antipathetical,DUPLICATE_NO_TRANSLATION
240,,,,indisposed,индиспониран
241,,,,loath,DUPLICATE_NO_TRANSLATION
242,,,,loth,DUPLICATE_NO_TRANSLATION
244,L07_34,synonyms - intensity,pain,,болка
245,,,,torment,тегообност
246,,,,torture,тортура
247,,,,agony,агонија
249,L07_35,synonyms - intensity,pony,,пони
250,,,,horse,коњ
252,L07_36,synonyms - intensity,poorly,,сиротно
253,,,,afflicted,NO_TRANSLATION
254,,,,sick,заболен
255,,,,ill,болен
256,,,,stricken,DUPLICATE_NO_TRANSLATION
258,L07_37,synonyms - intensity,rain,,дожд
259,,,,deluge,поплава
260,,,,shower,DUPLICATE_дожд
262,L07_38,synonyms - intensity,sad,,тажен
263,,,,desparate,очаен
264,,,,despondent,NO_TRANSLATION
265,,,,despairing,DUPLICATE_NO_TRANSLATION
266,,,,desponding,DUPLICATE_NO_TRANSLATION
267,,,,forlorn,зафрлен
268,,,,hopeless,безнадежен
269,,,,melancholy,меланхолија
272,L07_39,synonyms - intensity,sea,,море
273,,,,ocean,океан
275,L07_40,synonyms - intensity,snack,,снек
276,,,,meal,оброк
277,,,,eat,јаде
279,L07_41,synonyms - intensity,sniffles,,шмркавица
280,,,,pneumonia,пневмонија
282,L07_42,synonyms - intensity,soon,,наскоро
283,,,,immediately,веднаш
284,,,,promptly,итно
285,,,,straightaway,директен
287,L07_43,synonyms - intensity,strong,,силен
288,,,,powerful,моќен
289,,,,forceful,NO_TRANSLATION
290,,,,super,супер
291,,,,potent,потентен
293,L07_44,synonyms - intensity,tasty,,вкусен
294,,,,delicious,деликатесен
295,,,,delectable,NO_TRANSLATION
296,,,,luscious,DUPLICATE_NO_TRANSLATION
297,,,,pleasant-tasting,убаво_на_вкус
298,,,,scrumptious,DUPLICATE_NO_TRANSLATION
299,,,,toothsome,DUPLICATE_NO_TRANSLATION
300,,,,yummy,DUPLICATE_NO_TRANSLATION
301,,,,mouth-watering,DUPLICATE_NO_TRANSLATION
302,,,,ambrosial,DUPLICATE_NO_TRANSLATION
303,,,,heavenly,боженствено
305,L07_45,synonyms - intensity,tired,,уморен
306,,,,exhausted,исцрпен
307,,,,drained,испиен
309,L07_46,synonyms - intensity,unfortunate,,несреќен
310,,,,tragic,трагичен
311,,,,woeful,NO_TRANSLATION
312,,,,grievous,нажален
313,,,,wretched,беден
314,,,,miserable,мизерен
315,,,,awful,пеколен
316,,,,lamentable,DUPLICATE_NO_TRANSLATION
317,,,,regrettable,DUPLICATE_NO_TRANSLATION
318,,,,desperate,беспомошен
319,,,,hopeless,безнадежен
320,,,,disastrous,поразен
322,L07_47,synonyms - intensity,unhappy,,несреќен
323,,,,miserable,мизерен
324,,,,suffering,страдален
325,,,,wretched,беден
327,L07_48,synonyms - intensity,want,,сака
328,,,,crave,загори
329,,,,hunger,глад
330,,,,thirst,жед
331,,,,starve,испостен
332,,,,lust,блуд
334,L07_49,synonyms - intensity,warm,,топол
335,,,,hot,врел
336,,,,fiery,огнен
337,,,,flaming,загорен
338,,,,heated,вжештен
339,,,,red-hot,NO_TRANSLATION
340,,,,sizzling,DUPLICATE_NO_TRANSLATION
341,,,,sensual,сензуален
342,,,,sultry,DUPLICATE_NO_TRANSLATION
343,,,,torrid,DUPLICATE_NO_TRANSLATION
344,,,,white-hot,DUPLICATE_NO_TRANSLATION
346,L07_50,synonyms - intensity,well,,арен
347,,,,flourishing,расцветан
348,,,,robust,робусен
349,,,,booming,NO_TRANSLATION
350,,,,prospering,DUPLICATE_NO_TRANSLATION
351,,,,prosperous,просперитетен
352,,,,thriving,DUPLICATE_NO_TRANSLATION
