,ID,Relation,Source,Target,HE
271,,,,durables,DUPLICATE_מוצרי_צריכה_עמידים
272,,,,durable_goods,מוצרי_צריכה_עמידים
273,,,,consumer_durables,מוצרים_עמידים_לצרכן
274,,,,consumer_goods,מוצרי_צריכה
275,,,,commodity,מצרך
276,,,,trade_good,סחר_טוב
277,,,,good,טוב
278,,,,artifact,חפץ
279,,,,artefact,DUPLICATE_חפץ
280,,,,unit,יְחִידָה
281,,,,object,אובייקט
282,,,,physical_object,אוֹבְּיֶיקט_פיזי
283,,,,physical_entity,ישות_פיזית
284,,,,entity,ישות
286,L02_16,hypernyms - misc,gasoline,,_בֶּנְזִין_
287,,,,fuel,דלק
288,,,,hydrocarbon,פחמימן
289,,,,substance,DUPLICATE_חומר
290,,,,organic_compound,תרכובת_אורגנית
291,,,,matter,חומר
292,,,,compound,מתחם
293,,,,chemical_compound,תרכובת_כימית
294,,,,physical_entity,ישות_פיזית
295,,,,chemical,כימי
296,,,,chemical_substance,חומר_כימי
297,,,,entity,ישות
298,,,,material,חוֹמֶר
299,,,,stuff,דבר
300,,,,part,חלק
301,,,,portion,מנה
302,,,,component_part,חלק_מרכיב
303,,,,component,רכיב
304,,,,constituent,מרכיב
305,,,,relation,יחס
306,,,,abstraction,הפשטה
307,,,,abstract_entity,ישות_מופשטת
310,L02_17,hypernyms - misc,grapefruit,,_אֶשְׁכּוֹלִית_
311,,,,citrus,פרי_הדר
312,,,,citrus_fruit,DUPLICATE_פרי_הדר
313,,,,citrous_fruit,DUPLICATE_פרי_הדר
314,,,,fruit,פְּרִי
315,,,,edible_fruit,פרי_אכיל
316,,,,produce,סחורה
317,,,,green_goods,מוצרים_ירוקים
318,,,,green_groceries,מצרכים_ירוקים
319,,,,garden_truck,משאית_גן
320,,,,food,אוכל
321,,,,matter,חומר
322,,,,natural_object,חפץ_טבעי
323,,,,physical_entity,ישות_פיזית
324,,,,unit,יחידה
325,,,,entity,ישות
326,,,,object,אובייקט
327,,,,physical_object,אוֹבְּיֶיקט_פיזי
329,L02_18,hypernyms - misc,hairnet,,רשת_שיער
330,,,,net,רשת
331,,,,network,רשת_קשרים_עסקיים
332,,,,mesh,DUPLICATE_רשת
333,,,,meshing,סבך
334,,,,meshwork,מעשה_רשת
335,,,,fabric,בד
336,,,,cloth,ביגוד
337,,,,material,חוֹמֶר
338,,,,textile,אריג
339,,,,artifact,חפץ
340,,,,artefact,DUPLICATE_חפץ
341,,,,unit,יְחִידָה
342,,,,object,אובייקט
343,,,,physical_object,אוֹבְּיֶיקט_פיזי
344,,,,physical_entity,ישות_פיזית
345,,,,entity,ישות
347,L02_19,hypernyms - misc,hairpin,,סיכת_ראש
348,,,,pin,סיכה
349,,,,fastener,אֶטֶב
350,,,,fastening,מהדק
351,,,,holdfast,אֶחיזה
352,,,,fixing,קביעה
353,,,,restraint,הבלגה
354,,,,constraint,אילוץ
355,,,,device,מתקן
356,,,,artifact,חפץ
357,,,,artefact,DUPLICATE_חפץ
358,,,,unit,יְחִידָה
359,,,,object,אובייקט
360,,,,physical_object,אוֹבְּיֶיקט_פיזי
361,,,,physical_entity,ישות_פיזית
362,,,,entity,ישות
364,L02_20,hypernyms - misc,hamburger,,המבורגר
365,,,,sandwich,כריך
366,,,,snack_food,חטיף
367,,,,dish,כלי_אוכל
368,,,,nutriment,DUPLICATE_תזונה
369,,,,nourishment,מָזוֹן
370,,,,nutrition,תזונה
371,,,,sustenance,DUPLICATE_מזון
372,,,,aliment,DUPLICATE_מזון
373,,,,alimentation,הֲזָנָה
374,,,,victuals,סיפק
375,,,,food,אוכל
376,,,,nutrient,מזין
377,,,,substance,DUPLICATE_חומר
378,,,,matter,חומר
379,,,,physical_entity,ישות_פיזית
380,,,,entity,ישות
381,,,,beef,בשר_בקר
382,,,,boeuf,DUPLICATE_בשר_בקר
383,,,,meat,בשר
384,,,,solid_food,אוכל_מוצק
385,,,,solid,מוצק
386,,,,,"תַּבְשִׁיל,מַאֲכָל,מָנָה;_צַלַּחַת,קְעָרָה,כלי"
387,L02_21,hypernyms - misc,jacket,,ג'קט
388,,,,clothes,בגדים
389,,,,coat,מעיל
390,,,,overgarment,DUPLICATE_בגד_עליון
391,,,,outer_garment,בגד_עליון
392,,,,garment,DUPLICATE_לבוש
393,,,,clothing,ביגוד
394,,,,article_of_clothing,פריט_לבוש
395,,,,vesture,DUPLICATE_לבוש
396,,,,wear,לבוש
397,,,,wearable,לביש
398,,,,habiliment,DUPLICATE_לבוש
399,,,,consumer_goods,מוצרי_צריכה
400,,,,covering,כיסוי
401,,,,commodity,מצרך
402,,,,trade_good,סחר_טוב
403,,,,good,טוב
404,,,,artifact,חפץ
405,,,,artefact,DUPLICATE_חפץ
406,,,,unit,יְחִידָה
407,,,,object,אובייקט
408,,,,physical_object,אוֹבְּיֶיקט_פיזי
409,,,,physical_entity,ישות_פיזית
410,,,,entity,ישות
411,,,,,מקטורן
412,L02_22,hypernyms - misc,jeans,,מכנסי_ג'ינס
413,,,,trousers,DUPLICATE_מכנסיים
414,,,,pants,מכנסיים
415,,,,workwear,בגדי_עבודה
416,,,,garment,DUPLICATE_לבוש
417,,,,clothing,ביגוד
418,,,,clothes,בגדים
419,,,,article_of_clothing,פריט_לבוש
420,,,,vesture,DUPLICATE_לבוש
421,,,,wear,לבוש
422,,,,wearable,לביש
423,,,,habiliment,DUPLICATE_לבוש
424,,,,consumer_goods,מוצרי_צריכה
425,,,,covering,כיסוי
426,,,,commodity,מצרך
427,,,,trade_good,סחר_טוב
428,,,,good,טוב
429,,,,artifact,חפץ
430,,,,artefact,DUPLICATE_חפץ
431,,,,unit,יְחִידָה
432,,,,object,אובייקט
433,,,,physical_object,אוֹבְּיֶיקט_פיזי
434,,,,physical_entity,ישות_פיזית
435,,,,entity,ישות
437,L02_23,hypernyms - misc,juicer,,מַסְחֵטָה
438,,,,utensil,תשמיש
439,,,,physical_entity,ישות_פיזית
440,,,,entity,ישות
441,,,,unit,יְחִידָה
442,,,,object,אובייקט
443,,,,physical_object,אוֹבְּיֶיקט_פיזי
444,,,,squeezer,מַסְחֵטָה
445,,,,kitchen_utensil,כִּלי_מטבח
446,,,,implement,כלי
447,,,,artifact,חפץ
448,,,,artefact,DUPLICATE_חפץ
450,L02_24,hypernyms - misc,lemon,,לימון
451,,,,citrus,פרי_הדר
452,,,,citrus_fruit,DUPLICATE_פרי_הדר
453,,,,citrous_fruit,DUPLICATE_פרי_הדר
454,,,,fruit,פרי
455,,,,edible_fruit,פרי_אכיל
456,,,,produce,סחורה
457,,,,green_goods,מוצרים_ירוקים
458,,,,green_groceries,מצרכים_ירוקים
459,,,,garden_truck,משאית_גן
460,,,,food,אוכל
461,,,,matter,חומר
462,,,,natural_object,חפץ_טבעי
463,,,,physical_entity,ישות_פיזית
464,,,,unit,יְחִידָה
465,,,,entity,ישות
466,,,,object,אוֹבְּיֶיקט
467,,,,physical_object,אוֹבְּיֶיקט_פיזי
469,L02_25,hypernyms - misc,lotion,,_תַּחְלִיב_
470,,,,toiletry,תמרוק
471,,,,toilet_articles,חפצי_שירותים
472,,,,artifact,חפץ
473,,,,artefact,DUPLICATE_חפץ
474,,,,unit,יְחִידָה
475,,,,object,אובייקט
476,,,,physical_object,אוֹבְּיֶיקט_פיזי
477,,,,physical_entity,ישות_פיזית
478,,,,entity,ישות
480,L02_26,hypernyms - misc,mascara,,מסקרה
481,,,,makeup,איפור
482,,,,make-up,DUPLICATE_איפור
483,,,,war_paint,צבע_מלחמה
484,,,,cosmetic,קוסמטי
485,,,,toiletry,תמרוק
486,,,,toilet_articles,חפצי_שירותים
487,,,,artifact,חפץ
488,,,,artefact,DUPLICATE_חפץ
489,,,,unit,יְחִידָה
490,,,,object,אובייקט
491,,,,physical_object,אוֹבְּיֶיקט_פיזי
492,,,,physical_entity,ישות_פיזית
493,,,,entity,ישות
495,L02_27,hypernyms - misc,necklace,,שרשרת
496,,,,jewelry,DUPLICATE_תכשיטים
497,,,,jewellery,תכשיטים
498,,,,adornment,DUPLICATE_תכשיטים
499,,,,decoration,קִשּׁוּט
500,,,,ornament,עטור
501,,,,ornamentation,DUPLICATE_עטור
502,,,,artifact,חפץ
503,,,,artefact,DUPLICATE_חפץ
504,,,,unit,יְחִידָה
505,,,,object,אובייקט
506,,,,physical_object,אוֹבְּיֶיקט_פיזי
507,,,,physical_entity,ישות_פיזית
508,,,,entity,ישות
510,L02_28,hypernyms - misc,notebook,,מחברת
511,,,,book,ספר
512,,,,volume,כרך
513,,,,product,מוצר
514,,,,production,יצור
515,,,,creation,יצירה
516,,,,artifact,חפץ
517,,,,artefact,DUPLICATE_חפץ
518,,,,unit,יְחִידָה
519,,,,object,אובייקט
520,,,,physical_object,אוֹבְּיֶיקט_פיזי
521,,,,physical_entity,ישות_פיזית
522,,,,entity,ישות
523,,,,portable_computer,מחשב_נייד
524,,,,personal_computer,מחשב_אישי
525,,,,pc,DUPLICATE_מחשב_נייד
526,,,,microcomputer,מיקרו_מחשב
527,,,,digital_computer,מחשב_דיגיטלי
528,,,,computer,מחשב
529,,,,computing_machine,מכונת_מחשוב
530,,,,computing_device,מכשיר_מחשוב
531,,,,data_processor,מעבד_מידע
532,,,,electronic_computer,מחשב_אלקטרוני
533,,,,information_processing_system,מערכת_עיבור_מידע
534,,,,machine,מכונה
535,,,,device,מתקן
537,L02_29,hypernyms - misc,notepad,,פנקס_רשימת
538,,,,pad,פנקס
539,,,,pad_of_paper,פנקס_נייר
540,,,,tablet,לוח
541,,,,paper,נייר
542,,,,material,חוֹמֶר
543,,,,stuff,דבר
544,,,,substance,DUPLICATE_חומר
545,,,,matter,חומר
546,,,,part,חלק
547,,,,portion,מנה
548,,,,component_part,חלק_מרכיב
549,,,,component,רכיב
550,,,,constituent,מרכיב
551,,,,physical_entity,ישות_פיזית
552,,,,relation,יחס
553,,,,entity,ישות
554,,,,abstraction,הפשטה
555,,,,abstract_entity,ישות_מופשטת
557,L02_30,hypernyms - misc,pastry,,מאפה
558,,,,food,אוכל
559,,,,dough,בצק
560,,,,concoction,תבשיל
561,,,,mixture,תערבת
562,,,,intermixture,DUPLICATE_תערובת
563,,,,foodstuff,מצרך_מזון
564,,,,food_product,מוצר_מזון
565,,,,nutrient,מזין
566,,,,substance,DUPLICATE_חומר
567,,,,matter,חומר
568,,,,physical_entity,ישות_פיזית
569,,,,entity,DUPLICATE_ישות_פיזית
570,,,,baked_goods,מוצרי_מאפה
571,,,,solid_food,אוכל_מוצק
572,,,,solid,מוצק
573,,,,,"עיסה,בלילה"
574,L02_31,hypernyms - misc,peach,,אפרסק
575,,,,fruit,פרי
576,,,,drupe,בית_גלעין
577,,,,stone_fruit,פרי_אבן
578,,,,edible_fruit,פרי_אכיל
579,,,,produce,סחורה
580,,,,green_goods,מוצרים_ירוקים
581,,,,green_groceries,מצרכים_ירוקים
582,,,,garden_truck,משאית_גן
583,,,,food,אוכל
584,,,,matter,חומר
585,,,,natural_object,חפץ_טבעי
586,,,,physical_entity,ישות_פיזית
587,,,,unit,יְחִידָה
588,,,,entity,ישות
589,,,,object,אובייקט
590,,,,physical_object,אוֹבְּיֶיקט_פיזי
592,L02_32,hypernyms - misc,perfume,,בושם
593,,,,toiletry,תמרוק
594,,,,toilet_articles,חפצי_שירותים
595,,,,artifact,חפץ
596,,,,artefact,DUPLICATE_חפץ
597,,,,unit,יְחִידָה
598,,,,object,אובייקט
599,,,,physical_object,אוֹבְּיֶיקט_פיזי
600,,,,physical_entity,ישות_פיזית
601,,,,entity,ישות
603,L02_33,hypernyms - misc,photo,,תמונה
604,,,,picture,DUPLICATE_תמונה
605,,,,image,DUPLICATE_תמונה
606,,,,representation,יצוג
607,,,,creation,יצירה
608,,,,artifact,חפץ
609,,,,artefact,DUPLICATE_חפץ
610,,,,unit,יְחִידָה
611,,,,object,אובייקט
612,,,,physical_object,אוֹבְּיֶיקט_פיזי
613,,,,physical_entity,ישות_פיזית
614,,,,entity,ישות
615,,,,,"תצלום,ציור,רפרזנטציה"
616,L02_34,hypernyms - misc,pie,,פאי
617,,,,pastry,מאפה
618,,,,baked_goods,מוצרי_מאפה
619,,,,food,אוכל
620,,,,solid_food,אוכל_מוצק
621,,,,solid,מוצק
622,,,,matter,חומר
623,,,,physical_entity,ישות_פיזית
624,,,,entity,ישות
625,,,,indo-european,הודו-אירופי
626,,,,indo-european_language,שפה_הודו-אירופי
627,,,,indo-hittite,הודו-חתי
628,,,,natural_language,שפה_טבעית
629,,,,tongue,לשון
630,,,,language,שפה
631,,,,linguistic_communication,תקשורת_לשונית
632,,,,communication,תקשורת
633,,,,abstraction,הפשטה
634,,,,abstract_entity,ישות_מופשטת
635,,,,,"פשטידה,טורט"
636,L02_35,hypernyms - misc,plum,,שזיף
637,,,,fruit,פרי
638,,,,drupe,בית_גלעין
639,,,,stone_fruit,פרי_אבן
640,,,,edible_fruit,פרי_אכיל
641,,,,produce,סחורה
642,,,,green_goods,מוצרים_ירוקים
643,,,,green_groceries,מצרכים_ירוקים
644,,,,garden_truck,משאית_גן
645,,,,food,אוכל
646,,,,matter,חומר
647,,,,natural_object,חפץ_טבעי
648,,,,physical_entity,ישות_פיזית
649,,,,unit,יְחִידָה
650,,,,entity,ישות
651,,,,object,אובייקט
652,,,,physical_object,אוֹבְּיֶיקט_פיזי
654,L02_36,hypernyms - misc,postcard,,_גְּלוּיָה_
655,,,,card,כרטיס
656,,,,correspondence,התכתבות
657,,,,first_class,מחלקה_ראשונה
658,,,,1st_class,DUPLICATE_מחלקה_ראשונה
659,,,,first-class_mail,דואר_מחלקה_ראשונה
660,,,,1st-class_mail,DUPLICATE_דואר_מחלקה_ראשונה
661,,,,written_communication,תקשורת_כתובה
662,,,,written_language,שפה_כתובה
663,,,,black_and_white,שחור_ולבן
664,,,,mail,דואר
665,,,,communication,תקשורת
666,,,,message,הודעה
667,,,,abstraction,הפשטה
668,,,,abstract_entity,ישות_מופשטת
669,,,,entity,ישות
670,,,,,"קלף,גלויה,מסר,שדר"
671,L02_37,hypernyms - misc,shelf,,מדף
672,,,,furniture,ריהוט
673,,,,support,תמיכה
674,,,,piece_of_furniture,רהיט
675,,,,article_of_furniture,פריט_ריהוט
676,,,,furnishing,DUPLICATE_רהיט
677,,,,artifact,חפץ
678,,,,artefact,DUPLICATE_חפץ
679,,,,unit,יְחִידָה
680,,,,object,אובייקט
681,,,,physical_object,אוֹבְּיֶיקט_פיזי
682,,,,physical_entity,ישות_פיזית
683,,,,entity,ישות
684,,,,,"סעד,משענת"
685,L02_38,hypernyms - misc,shirt,,_חֻלְצָה_
686,,,,clothes,בגדים
687,,,,garment,DUPLICATE_לבוש
688,,,,clothing,ביגוד
689,,,,article_of_clothing,פריט_לבוש
690,,,,vesture,DUPLICATE_לבוש
691,,,,wear,לבוש
692,,,,wearable,לביש
693,,,,habiliment,DUPLICATE_לבוש
694,,,,consumer_goods,מוצרי_צריכה
695,,,,covering,כיסוי
696,,,,commodity,מצרך
697,,,,trade_good,סחר_טוב
698,,,,good,טוב
699,,,,artifact,חפץ
700,,,,artefact,DUPLICATE_חפץ
701,,,,unit,יְחִידָה
702,,,,object,אובייקט
703,,,,physical_object,אוֹבְּיֶיקט_פיזי
704,,,,physical_entity,ישות_פיזית
705,,,,entity,ישות
707,L02_39,hypernyms - misc,sidewalk,,_מִדְרָכָה_
708,,,,walk,הליכה
709,,,,walkway,שביל
710,,,,paseo,שיטוט_נינוח
711,,,,path,נתיב
712,,,,way,דרך
713,,,,artifact,חפץ
714,,,,artefact,DUPLICATE_חפץ
715,,,,unit,יְחִידָה
716,,,,object,אובייקט
717,,,,physical_object,אוֹבְּיֶיקט_פיזי
718,,,,physical_entity,ישות_פיזית
719,,,,entity,ישות
720,,,,,"מסלול_הליכה,צעדה,טיילת,משעול"
721,L02_40,hypernyms - misc,skirt,,חצאית
722,,,,clothes,בגדים
723,,,,garment,DUPLICATE_לבוש
724,,,,clothing,ביגוד
725,,,,article_of_clothing,פריט_לבוש
726,,,,vesture,DUPLICATE_לבוש
727,,,,wear,לבוש
728,,,,wearable,לביש
729,,,,habiliment,DUPLICATE_לבוש
730,,,,consumer_goods,מוצרי_צריכה
731,,,,covering,כיסוי
732,,,,commodity,מצרך
733,,,,trade_good,סחר_טוב
734,,,,good,טוב
735,,,,artifact,חפץ
736,,,,artefact,DUPLICATE_חפץ
737,,,,unit,יְחִידָה
738,,,,object,אובייקט
739,,,,physical_object,אוֹבְּיֶיקט_פיזי
740,,,,physical_entity,ישות_פיזית
741,,,,entity,ישות
743,L02_41,hypernyms - misc,sofa,,ספה
744,,,,furniture,ריהוט
746,,,,piece_of_furniture,רהיט
747,,,,article_of_furniture,פריט_ריהוט
748,,,,furnishing,DUPLICATE_רהיט
749,,,,artifact,חפץ
750,,,,artefact,DUPLICATE_חפץ
751,,,,unit,יְחִידָה
752,,,,object,אובייקט
753,,,,physical_object,אוֹבְּיֶיקט_פיזי
754,,,,physical_entity,ישות_פיזית
755,,,,entity,ישות
757,L02_42,hypernyms - misc,stapler,,מהדק
758,,,,device,מתקן
759,,,,machine,מכונה
760,,,,artifact,חפץ
761,,,,artefact,DUPLICATE_חפץ
762,,,,unit,יְחִידָה
763,,,,object,אובייקט
764,,,,physical_object,אוֹבְּיֶיקט_פיזי
765,,,,physical_entity,ישות_פיזית
766,,,,entity,ישות
767,,,,,שדכן
768,L02_43,hypernyms - misc,sunscreen,,קרם_הגנה
769,,,,cream,קרם
770,,,,lotion,תַּחְלִיב
771,,,,ointment,מִשְׁחָה
772,,,,emollient,קרם_מרגיע
773,,,,toiletry,תמרוק
774,,,,toilet_articles,חפצי_שירותים
775,,,,artifact,חפץ
776,,,,artefact,DUPLICATE_חפץ
777,,,,unit,יְחִידָה
778,,,,object,אובייקט
779,,,,physical_object,אוֹבְּיֶיקט_פיזי
780,,,,physical_entity,ישות_פיזית
781,,,,entity,ישות
782,,,,,משחה
783,L02_44,hypernyms - misc,sweater,,סוודר
784,,,,clothes,בגדים
785,,,,garment,DUPLICATE_לבוש
786,,,,clothing,ביגוד
787,,,,article_of_clothing,פריט_לבוש
788,,,,vesture,DUPLICATE_לבוש
789,,,,wear,לבוש
790,,,,wearable,לביש
791,,,,habiliment,DUPLICATE_לבוש
792,,,,consumer_goods,מוצרי_צריכה
793,,,,covering,כיסוי
