,ID,Relation,Source,Target,EL
126,,,,crockery,πιατικό
127,,,,dishware,DUPLICATE_πιατικό
128,,,,ware,προϊόν
129,,,,article,κομμάτι
130,,,,artifact,κατασκεύασμα
131,,,,artefact,DUPLICATE_κατασκεύασμα
132,,,,unit,μονάδα
133,,,,object,αντικείμενο
134,,,,physical_object,φυσικό_αντικείμενο
135,,,,physical_entity,φυσική_οντότητα
136,,,,entity,οντότητα
137,,,,container,δοχείο
138,,,,,"κατασκευή,τεχνούργημα"
139,L02_9,hypernyms - misc,denim,,ντένιμ
140,,,,fabric,ύφασμα
141,,,,cloth,DUPLICATE_ύφασμα
142,,,,material,υλικό
143,,,,textile,προϊόν_κλωστοϋφαντουργίας
144,,,,artifact,κατασκεύασμα
145,,,,artefact,DUPLICATE_κατασκεύασμα
146,,,,unit,μονάδα
147,,,,object,αντικείμενο
148,,,,physical_object,φυσικό_αντικείμενο
149,,,,physical_entity,φυσική_οντότητα
150,,,,entity,οντότητα
151,,,,garment,ένδυμα
152,,,,clothing,ρουχισμός
153,,,,article_of_clothing,DUPLICATE_ρούχο
154,,,,vesture,ενδυμασία
155,,,,wear,φορεσιά
156,,,,wearable,φορετό
157,,,,habiliment,DUPLICATE_ένδυμα
158,,,,consumer_goods,καταναλωτικό_αγαθό
159,,,,covering,κάλυμμα
160,,,,commodity,εμπόρευμα
161,,,,trade_good,αγαθό_εμπορίου
162,,,,good,αγαθό
163,,,,,"κατασκευή,τεχνούργημα"
164,L02_10,hypernyms - misc,deodorant,,αποσμητικό
165,,,,toiletry,είδος_προσωπικής_υγιεινής
166,,,,toilet_articles,DUPLICATE_είδος_προσωπικής_υγιεινής
167,,,,artifact,κατασκεύασμα
168,,,,artefact,DUPLICATE_κατασκεύασμα
169,,,,unit,μονάδα
170,,,,object,αντικείμενο
171,,,,physical_object,φυσικό_αντικείμενο
172,,,,physical_entity,φυσική_οντότητα
173,,,,entity,οντότητα
174,,,,,"κατασκευή,τεχνούργημα"
175,L02_11,hypernyms - misc,desk,,γραφείο
176,,,,furniture,έπιπλο
177,,,,table,τραπέζι
178,,,,piece_of_furniture,DUPLICATE_έπιπλο
179,,,,article_of_furniture,DUPLICATE_έπιπλο
180,,,,furnishing,επίπλωση
181,,,,artifact,κατασκεύασμα
182,,,,artefact,DUPLICATE_κατασκεύασμα
183,,,,unit,μονάδα
184,,,,object,αντικείμενο
185,,,,physical_object,φυσικό_αντικείμενο
186,,,,physical_entity,φυσική_οντότητα
187,,,,entity,οντότητα
188,,,,,"κατασκευή,τεχνούργημα"
189,L02_12,hypernyms - misc,diary,,ημερολόγιο
190,,,,journal,DUPLICATE_ημερολόγιο
191,,,,writing,γραφή
192,,,,written_material,γραπτό_υλικό
193,,,,piece_of_writing,γραπτό
194,,,,written_communication,γραπτή_επικοινωνία
195,,,,written_language,γραπτή_γλώσσα
196,,,,black_and_white,ασπρόμαυρος
197,,,,communication,επικοινωνία
198,,,,abstraction,αφαίρεση
199,,,,abstract_entity,αφηρημένη_οντότητα
200,,,,entity,οντότητα
201,,,,book,βιβλίο
202,,,,volume,τόμος
203,,,,product,προϊόν
204,,,,production,παραγωγή
205,,,,creation,δημιουργία
206,,,,artifact,κατασκεύασμα
207,,,,artefact,DUPLICATE_κατασκεύασμα
208,,,,unit,μονάδα
209,,,,object,αντικείμενο
210,,,,physical_object,φυσικό_αντικείμενο
211,,,,physical_entity,φυσική_οντότητα
212,,,,,"κατασκευή,τεχνούργημα,δημιούργημα"
213,L02_13,hypernyms - misc,dishwasher,,πλυντήριο_πιάτων
214,,,,appliance,συσκευή
215,,,,machine,μηχανή
216,,,,entity,οντότητα
217,,,,unit,μονάδα
218,,,,object,αντικείμενο
219,,,,physical_object,φυσικό_αντικείμενο
220,,,,white_goods,λευκή_συσκευή
221,,,,home_appliance,οικιακή_συσκευή
222,,,,household_appliance,DUPLICATE_οικιακή_συσκευή
223,,,,durables,διαρκές_αγαθό
224,,,,durable_goods,DUPLICATE_διαρκές_αγαθό
225,,,,consumer_durables,διαρκές_καταναλωτικό_αγαθό
226,,,,consumer_goods,καταναλωτικό_αγαθό
227,,,,commodity,εμπόρευμα
228,,,,trade_good,αγαθό_εμπορίου
229,,,,good,αγαθό
230,,,,artifact,κατασκεύασμα
231,,,,artefact,DUPLICATE_κατασκεύασμα
232,,,,physical_entity,NO_TRANSLATION
234,,,,,"μηχάνημα,κατασκευή,τεχνούργημα"
235,L02_14,hypernyms - misc,dress,,φόρεμα
236,,,,clothes,ρούχο
237,,,,garment,ένδυμα
238,,,,clothing,ρουχισμός
239,,,,article_of_clothing,DUPLICATE_ρούχο
240,,,,vesture,ενδυμασία
241,,,,wear,φορεσιά
242,,,,wearable,φορετό
243,,,,habiliment,DUPLICATE_ένδυμα
244,,,,consumer_goods,καταναλωτικό_αγαθό
245,,,,covering,κάλυμμα
246,,,,commodity,εμπόρευμα
247,,,,trade_good,αγαθό_εμπορίου
248,,,,good,αγαθό
249,,,,artifact,κατασκεύασμα
250,,,,artefact,DUPLICATE_κατασκεύασμα
251,,,,unit,μονάδα
252,,,,object,αντικείμενο
253,,,,physical_object,φυσικό_αντικείμενο
254,,,,physical_entity,φυσική_οντότητα
255,,,,entity,οντότητα
264,,,,,"κατασκευή,τεχνούργημα"
265,L02_15,hypernyms - misc,fridge,,ψυγείο
266,,,,appliance,συσκευή
267,,,,icebox,ψυκτική_συσκευή
268,,,,white_goods,λευκή_συσκευή
269,,,,home_appliance,οικιακή_συσκευή
270,,,,household_appliance,DUPLICATE_οικιακή_συσκευή
271,,,,durables,διαρκές_αγαθό
272,,,,durable_goods,DUPLICATE_διαρκές_αγαθό
273,,,,consumer_durables,διαρκές_καταναλωτικό_αγαθό
274,,,,consumer_goods,καταναλωτικό_αγαθό
275,,,,commodity,εμπόρευμα
276,,,,trade_good,αγαθό_εμπορίου
277,,,,good,αγαθό
278,,,,artifact,κατασκεύασμα
279,,,,artefact,DUPLICATE_κατασκεύασμα
280,,,,unit,μονάδα
281,,,,object,αντικείμενο
282,,,,physical_object,φυσικό_αντικείμενο
283,,,,physical_entity,φυσική_οντότητα
284,,,,entity,οντότητα
285,,,,,"μηχανή,μηχάνημα"
286,L02_16,hypernyms - misc,gasoline,,βενζίνη
287,,,,fuel,καύσιμο
288,,,,hydrocarbon,υδρογονάνθρακας
289,,,,substance,ουσία
290,,,,organic_compound,οργανική_ένωση
291,,,,matter,ύλη
292,,,,compound,ένωση
293,,,,chemical_compound,χημική_ένωση
294,,,,physical_entity,φυσική_οντότητα
295,,,,chemical,χημικό
296,,,,chemical_substance,χημική_ουσία
297,,,,entity,οντότητα
298,,,,material,υλικό
299,,,,stuff,πράγμα
300,,,,part,μέρος
301,,,,portion,μερίδα
302,,,,component_part,συστατικό_μέρος
303,,,,component,συστατικό
304,,,,constituent,DUPLICATE_συστατικό
305,,,,relation,σχέση
306,,,,abstraction,αφαίρεση
307,,,,abstract_entity,αφηρημένη_οντότητα
309,,,,,τμήμα
310,L02_17,hypernyms - misc,grapefruit,,γκρέιπφρουτ
311,,,,citrus,κίτρο
312,,,,citrus_fruit,DUPLICATE_κιτρώδες_φρούτο
313,,,,citrous_fruit,κιτρώδες_φρούτο
314,,,,fruit,φρούτο
315,,,,edible_fruit,βρώσιμο_φρούτο
316,,,,produce,προϊόν
317,,,,green_goods,πράσινο_αγαθό
318,,,,green_groceries,φρούτα_και_λαχανικά
319,,,,garden_truck,NO_TRANSLATION
320,,,,food,τρόφιμο
321,,,,matter,ύλη
322,,,,natural_object,φυσικό_αντικείμενο
323,,,,physical_entity,φυσική_οντότητα
324,,,,unit,μονάδα
325,,,,entity,οντότητα
326,,,,object,αντικείμενο
327,,,,physical_object,DUPLICATE_φυσικό_αντικείμενο
329,L02_18,hypernyms - misc,hairnet,,δίχτυ_μαλλιών
330,,,,net,δίχτυ
331,,,,network,δίκτυο
332,,,,mesh,μες
333,,,,meshing,τεχνική_μες
334,,,,meshwork,εργασία_μες
335,,,,fabric,ύφασμα
336,,,,cloth,DUPLICATE_ύφασμα
337,,,,material,υλικό
338,,,,textile,προϊόν_κλωστοϋφαντουργίας
339,,,,artifact,κατασκεύασμα
340,,,,artefact,DUPLICATE_κατασκεύασμα
341,,,,unit,μονάδα
342,,,,object,αντικείμενο
343,,,,physical_object,φυσικό_αντικείμενο
344,,,,physical_entity,φυσική_οντότητα
345,,,,entity,οντότητα
346,,,,,"κατασκευή,τεχνούργημα"
347,L02_19,hypernyms - misc,hairpin,,καρφίτσα_μαλλιών
348,,,,pin,καρφίτσα
349,,,,fastener,δέστρα
350,,,,fastening,DUPLICATE_δέστρα
351,,,,holdfast,DUPLICATE_δέστρα
352,,,,fixing,NO_TRANSLATION
353,,,,restraint,περιοριστικό
354,,,,constraint,DUPLICATE_περιοριστικό
355,,,,device,συσκευή
356,,,,artifact,κατασκεύασμα
357,,,,artefact,DUPLICATE_κατασκεύασμα
358,,,,unit,μονάδα
359,,,,object,αντικείμενο
360,,,,physical_object,φυσικό_αντικείμενο
361,,,,physical_entity,φυσική_οντότητα
362,,,,entity,οντότητα
363,,,,,"κατασκευή,τεχνούργημα"
364,L02_20,hypernyms - misc,hamburger,,χάμπουργκερ
365,,,,sandwich,σάντουιτς
366,,,,snack_food,σνακ
367,,,,dish,πιάτο
368,,,,nutriment,θρεπτική_ουσία
369,,,,nourishment,DUPLICATE_τροφή
370,,,,nutrition,διατροφή
371,,,,sustenance,DUPLICATE_διατροφή
372,,,,aliment,τρόφιμο
373,,,,alimentation,DUPLICATE_διατροφή
374,,,,victuals,DUPLICATE_τρόφιμο
375,,,,food,DUPLICATE_τρόφιμο
376,,,,nutrient,θρεπτικό_συστατικό
377,,,,substance,ουσία
378,,,,matter,ύλη
379,,,,physical_entity,φυσική_οντότητα
380,,,,entity,οντότητα
381,,,,beef,βοδινό_κρέας
382,,,,boeuf,βοδινό
383,,,,meat,κρέας
384,,,,solid_food,στερεά_τροφή
385,,,,solid,στερεό
387,L02_21,hypernyms - misc,jacket,,ζακέτα
388,,,,clothes,ρούχο
389,,,,coat,παλτό
390,,,,overgarment,εξωτερικό_ένδυμα
391,,,,outer_garment,DUPLICATE_εξωτερικό_ένδυμα
392,,,,garment,ένδυμα
393,,,,clothing,ρουχισμός
394,,,,article_of_clothing,DUPLICATE_ρούχο
395,,,,vesture,ενδυμασία
396,,,,wear,φορεσιά
397,,,,wearable,φορετό
398,,,,habiliment,DUPLICATE_ένδυμα
399,,,,consumer_goods,καταναλωτικό_αγαθό
400,,,,covering,κάλυμμα
401,,,,commodity,εμπόρευμα
402,,,,trade_good,αγαθό_εμπορίου
403,,,,good,αγαθό
404,,,,artifact,κατασκεύασμα
405,,,,artefact,DUPLICATE_κατασκεύασμα
406,,,,unit,μονάδα
407,,,,object,αντικείμενο
408,,,,physical_object,φυσικό_αντικείμενο
409,,,,physical_entity,φυσική_οντότητα
410,,,,entity,οντότητα
412,L02_22,hypernyms - misc,jeans,,τζιν
413,,,,trousers,παντελόνι
414,,,,pants,DUPLICATE_παντελόνι
415,,,,workwear,ρούχο_εργασίας
416,,,,garment,ένδυμα
417,,,,clothing,ρουχισμός
418,,,,clothes,ρούχο
419,,,,article_of_clothing,DUPLICATE_ρούχο
420,,,,vesture,ενδυμασία
421,,,,wear,φορεσιά
422,,,,wearable,φορετό
423,,,,habiliment,DUPLICATE_ένδυμα
424,,,,consumer_goods,καταναλωτικό_αγαθό
425,,,,covering,κάλυμμα
426,,,,commodity,εμπόρευμα
427,,,,trade_good,αγαθό_εμπορίου
428,,,,good,αγαθό
429,,,,artifact,κατασκεύασμα
430,,,,artefact,DUPLICATE_κατασκεύασμα
431,,,,unit,μονάδα
432,,,,object,αντικείμενο
433,,,,physical_object,φυσικό_αντικείμενο
434,,,,physical_entity,φυσική_οντότητα
435,,,,entity,οντότητα
437,L02_23,hypernyms - misc,juicer,,αποχυμωτής
438,,,,utensil,σκεύος
439,,,,physical_entity,φυσική_οντότητα
440,,,,entity,οντότητα
441,,,,unit,μονάδα
442,,,,object,αντικείμενο
443,,,,physical_object,φυσικό_αντικείμενο
444,,,,squeezer,στίφτης
445,,,,kitchen_utensil,μαγειρικό_σκεύος
446,,,,implement,εργαλείο
447,,,,artifact,κατασκεύασμα
448,,,,artefact,DUPLICATE_κατασκεύασμα
450,L02_24,hypernyms - misc,lemon,,λεμόνι
451,,,,citrus,κίτρο
452,,,,citrus_fruit,DUPLICATE_κίτρο
453,,,,citrous_fruit,κιτρώδες_φρούτο
454,,,,fruit,φρούτο
455,,,,edible_fruit,βρώσιμο_φρούτο
456,,,,produce,προϊόν
457,,,,green_goods,φρούτα_και_λαχανικά
458,,,,green_groceries,DUPLICATE_φρούτα_και_λαχανικά
459,,,,garden_truck,NO_TRANSLATION
460,,,,food,τρόφιμο
461,,,,matter,ύλη
462,,,,natural_object,φυσικό_αντικείμενο
463,,,,physical_entity,φυσική_οντότητα
464,,,,unit,μονάδα
465,,,,entity,οντότητα
466,,,,object,αντικείμενο
467,,,,physical_object,DUPLICATE_φυσικό_αντικείμενο
469,L02_25,hypernyms - misc,lotion,,λοσιόν
470,,,,toiletry,είδος_προσωπικής_υγιεινής
471,,,,toilet_articles,DUPLICATE_είδος_προσωπικής_υγιεινής
472,,,,artifact,κατασκεύασμα
473,,,,artefact,DUPLICATE_κατασκεύασμα
474,,,,unit,μονάδα
475,,,,object,αντικείμενο
476,,,,physical_object,φυσικό_αντικείμενο
477,,,,physical_entity,φυσική_οντότητα
478,,,,entity,οντότητα
480,L02_26,hypernyms - misc,mascara,,μάσκαρα
481,,,,makeup,μακιγιάζ
482,,,,make-up,DUPLICATE_μακιγιάζ
483,,,,war_paint,πολεμική_βαφή
484,,,,cosmetic,καλλυντικό
485,,,,toiletry,είδος_προσωπικής_υγιεινής
486,,,,toilet_articles,DUPLICATE_είδος_προσωπικής_υγιεινής
487,,,,artifact,κατασκεύασμα
488,,,,artefact,DUPLICATE_κατασκεύασμα
489,,,,unit,μονάδα
490,,,,object,αντικείμενο
491,,,,physical_object,φυσικό_αντικείμενο
492,,,,physical_entity,φυσική_οντότητα
493,,,,entity,οντότητα
495,L02_27,hypernyms - misc,necklace,,κολιέ
496,,,,jewelry,κόσμημα
497,,,,jewellery,DUPLICATE_κόσμημα
498,,,,adornment,στολισμός
499,,,,decoration,διακόσμηση
500,,,,ornament,στολίδι
501,,,,ornamentation,DUPLICATE_στολισμός
502,,,,artifact,κατασκεύασμα
503,,,,artefact,DUPLICATE_κατασκεύασμα
504,,,,unit,μονάδα
505,,,,object,αντικείμενο
506,,,,physical_object,φυσικό_αντικείμενο
507,,,,physical_entity,φυσική_οντότητα
508,,,,entity,οντότητα
510,L02_28,hypernyms - misc,notebook,,σημειωματάριο
511,,,,book,βιβλίο
512,,,,volume,τόμος
513,,,,product,προϊόν
514,,,,production,παραγωγή
515,,,,creation,δημιουργία
516,,,,artifact,κατασκεύασμα
517,,,,artefact,DUPLICATE_κατασκεύασμα
518,,,,unit,μονάδα
519,,,,object,αντικείμενο
520,,,,physical_object,φυσικό_αντικείμενο
521,,,,physical_entity,φυσική_οντότητα
522,,,,entity,οντότητα
523,,,,portable_computer,φορητός_υπολογιστής
524,,,,personal_computer,προσωπικός_υπολογιστής
525,,,,pc,Η/Υ
526,,,,microcomputer,μικροϋπολογιστής
527,,,,digital_computer,ψηφιακός_υπολογιστής
528,,,,computer,υπολογιστής
529,,,,computing_machine,υπολογιστική_μηχανή
530,,,,computing_device,υπολογιστική_συσκευή
531,,,,data_processor,επεξεργαστής_δεδομένων
532,,,,electronic_computer,ηλεκτρονικός_υπολογιστής
533,,,,information_processing_system,σύστημα_επεξεργασίας_πληροφοριών
534,,,,machine,μηχανή
535,,,,device,συσκευή
536,,,,,"κατασκευή,τεχνούργημα,δημιούργημα"
537,L02_29,hypernyms - misc,notepad,,μπλοκ
538,,,,pad,σημειωματάριο
539,,,,pad_of_paper,μπλοκ_σημειώσεων
540,,,,tablet,ταμπλέτα
541,,,,paper,χαρτί
542,,,,material,υλικό
543,,,,stuff,πράγμα
544,,,,substance,ουσία
545,,,,matter,ύλη
546,,,,part,μέρος
547,,,,portion,μερίδα
548,,,,component_part,συστατικό_μέρος
549,,,,component,συστατικό
550,,,,constituent,DUPLICATE_συστατικό
551,,,,physical_entity,φυσική_οντότητα
552,,,,relation,σχέση
553,,,,entity,οντότητα
554,,,,abstraction,αφαίρεση
555,,,,abstract_entity,αφηρημένη_οντότητα
556,,,,,τμήμα
557,L02_30,hypernyms - misc,pastry,,γλυκό
558,,,,food,τρόφιμο
559,,,,dough,ζύμη
560,,,,concoction,αφέψημα
561,,,,mixture,μείγμα
562,,,,intermixture,DUPLICATE_μείγμα
563,,,,foodstuff,DUPLICATE_τρόφιμο
564,,,,food_product,προϊόν_διατροφής
565,,,,nutrient,θρεπτικό_συστατικό
566,,,,substance,ουσία
567,,,,matter,ύλη
568,,,,physical_entity,φυσική_οντότητα
569,,,,entity,οντότητα
570,,,,baked_goods,ψημένο_αγαθό
571,,,,solid_food,στερεά_τροφή
572,,,,solid,στερεό
574,L02_31,hypernyms - misc,peach,,ροδάκινο
575,,,,fruit,φρούτο
576,,,,drupe,δρύπη
577,,,,stone_fruit,πυρηνόκαρπο_φρούτο
578,,,,edible_fruit,βρώσιμο_φρούτο
579,,,,produce,προϊόν
580,,,,green_goods,φρούτα_και_λαχανικά
581,,,,green_groceries,DUPLICATE_φρούτα_και_λαχανικά
582,,,,garden_truck,NO_TRANSLATION
583,,,,food,τρόφιμο
584,,,,matter,ύλη
585,,,,natural_object,φυσικό_αντικείμενο
586,,,,physical_entity,φυσική_οντότητα
587,,,,unit,μονάδα
588,,,,entity,οντότητα
589,,,,object,αντικείμενο
590,,,,physical_object,DUPLICATE_φυσικό_αντικείμενο
592,L02_32,hypernyms - misc,perfume,,άρωμα
593,,,,toiletry,είδος_προσωπικής_υγιεινής
594,,,,toilet_articles,DUPLICATE_είδος_προσωπικής_υγιεινής
595,,,,artifact,κατασκεύασμα
596,,,,artefact,DUPLICATE_κατασκεύασμα
597,,,,unit,μονάδα
598,,,,object,αντικείμενο
599,,,,physical_object,φυσικό_αντικείμενο
600,,,,physical_entity,φυσική_οντότητα
601,,,,entity,οντότητα
603,L02_33,hypernyms - misc,photo,,φωτογραφία
604,,,,picture,εικόνα
605,,,,image,DUPLICATE_εικόνα
606,,,,representation,αναπαράσταση
607,,,,creation,δημιουργία
608,,,,artifact,κατασκεύασμα
609,,,,artefact,DUPLICATE_κατασκεύασμα
610,,,,unit,μονάδα
611,,,,object,αντικείμενο
612,,,,physical_object,φυσικό_αντικείμενο
613,,,,physical_entity,φυσική_οντότητα
614,,,,entity,οντότητα
615,,,,,"δημιούργημα,κατασκευή"
616,L02_34,hypernyms - misc,pie,,πίτα
617,,,,pastry,γλυκό
618,,,,baked_goods,ψημένο_αγαθό
619,,,,food,τρόφιμο
620,,,,solid_food,στερεά_τροφή
621,,,,solid,στερεό
622,,,,matter,ύλη
623,,,,physical_entity,φυσική_οντότητα
624,,,,entity,οντότητα
625,,,,indo-european,ινδο-ευρωπαϊκή
626,,,,indo-european_language,ινδο-ευρωπαϊκή_γλώσσα
627,,,,indo-hittite,ινδο_χετιτική
628,,,,natural_language,φυσική_γλώσσα
629,,,,tongue,γλώσσα
630,,,,language,DUPLICATE_γλώσσα
631,,,,linguistic_communication,γλωσσική_επικοινωνία
632,,,,communication,επικοινωνία
633,,,,abstraction,αφαίρεση
634,,,,abstract_entity,αφηρημένη_οντότητα
636,L02_35,hypernyms - misc,plum,,δαμάσκηνο
637,,,,fruit,φρούτο
638,,,,drupe,δρύπη
639,,,,stone_fruit,πυρηνόκαρπο_φρούτο
640,,,,edible_fruit,βρώσιμο_φρούτο
641,,,,produce,προϊόν
642,,,,green_goods,φρούτα_και_λαχανικά
643,,,,green_groceries,DUPLICATE_φρούτα_και_λαχανικά
644,,,,garden_truck,NO_TRANSLATION
645,,,,food,τρόφιμο
646,,,,matter,ύλη
647,,,,natural_object,φυσικό_αντικείμενο
648,,,,physical_entity,φυσική_οντότητα
649,,,,unit,μονάδα
650,,,,entity,οντότητα
651,,,,object,αντικείμενο
652,,,,physical_object,DUPLICATE_φυσικό_αντικείμενο
654,L02_36,hypernyms - misc,postcard,,καρτ_ποστάλ
655,,,,card,κάρτα
656,,,,correspondence,αλληλογραφία
657,,,,first_class,πρώτης_κατηγορίας
658,,,,1st_class,DUPLICATE_πρώτης_κατηγορίας
659,,,,first-class_mail,επιστολή_πρώτης_κατηγορίας
660,,,,1st-class_mail,DUPLICATE_επιστολή_πρώτης_κατηγορίας
661,,,,written_communication,γραπτή_επικοινωνία
662,,,,written_language,γραπτή_γλώσσα
663,,,,black_and_white,ασπρόμαυρος
664,,,,mail,ταχυδρομείο
665,,,,communication,επικοινωνία
666,,,,message,μήνυμα
667,,,,abstraction,αφαίρεση
668,,,,abstract_entity,αφηρημένη_οντότητα
669,,,,entity,οντότητα
671,L02_37,hypernyms - misc,shelf,,ράφι
672,,,,furniture,έπιπλο
673,,,,support,στήριγμα
674,,,,piece_of_furniture,DUPLICATE_έπιπλο
675,,,,article_of_furniture,DUPLICATE_έπιπλο
676,,,,furnishing,επίπλωση
677,,,,artifact,κατασκεύασμα
678,,,,artefact,DUPLICATE_κατασκεύασμα
679,,,,unit,μονάδα
680,,,,object,αντικείμενο
681,,,,physical_object,φυσικό_αντικείμενο
682,,,,physical_entity,φυσική_οντότητα
683,,,,entity,οντότητα
684,,,,,"κατασκευή,τεχνούργημα"
685,L02_38,hypernyms - misc,shirt,,πουκάμισο
686,,,,clothes,ρούχο
687,,,,garment,ένδυμα
688,,,,clothing,ρουχισμός
689,,,,article_of_clothing,DUPLICATE_ρούχο
690,,,,vesture,ενδυμασία
691,,,,wear,φορεσιά
692,,,,wearable,φορετό
693,,,,habiliment,DUPLICATE_ένδυμα
694,,,,consumer_goods,καταναλωτικό_αγαθό
695,,,,covering,κάλυμμα
696,,,,commodity,εμπόρευμα
697,,,,trade_good,αγαθό_εμπορίου
698,,,,good,αγαθό
699,,,,artifact,κατασκεύασμα
700,,,,artefact,DUPLICATE_κατασκεύασμα
701,,,,unit,μονάδα
702,,,,object,αντικείμενο
703,,,,physical_object,φυσικό_αντικείμενο
704,,,,physical_entity,φυσική_οντότητα
705,,,,entity,οντότητα
706,,,,,"κατασκευή,τεχνούργημα"
707,L02_39,hypernyms - misc,sidewalk,,πεζοδρόμιο
708,,,,walk,δρόμος
709,,,,walkway,πεζόδρομος
710,,,,paseo,DUPLICATE_πεζόδρομος
711,,,,path,μονοπάτι
712,,,,way,DUPLICATE_δρόμος
713,,,,artifact,κατασκεύασμα
714,,,,artefact,DUPLICATE_κατασκεύασμα
715,,,,unit,μονάδα
716,,,,object,αντικείμενο
717,,,,physical_object,φυσικό_αντικείμενο
718,,,,physical_entity,φυσική_οντότητα
719,,,,entity,οντότητα
721,L02_40,hypernyms - misc,skirt,,φούστα
722,,,,clothes,ρούχο
723,,,,garment,ένδυμα
724,,,,clothing,ρουχισμός
725,,,,article_of_clothing,DUPLICATE_ρούχο
726,,,,vesture,ενδυμασία
727,,,,wear,φορεσιά
728,,,,wearable,φορετό
729,,,,habiliment,DUPLICATE_ένδυμα
730,,,,consumer_goods,καταναλωτικό_αγαθό
