,ID,Relation,Source,Target,SK
176,,,,rousing,DUPLICATE_NO_TRANSLATION
177,,,,stimulating,stimulujúci
178,,,,stirring,strhujúci
179,,,,arresting,DUPLICATE_NO_TRANSLATION
181,,,,intriguing,pútavý
182,,,,moving,dojemný
183,,,,provocative,provokatívny
184,,,,heady,stúpajúci_do_hlavy
185,,,,thrilling,napínavý
186,,,,,"fascinujúci,pôsobivý,dych_vyrážajúci,farbistý,sugestívny,obsažný"
187,L07_25,synonyms - intensity,irritate,,iritovať
188,,,,enrage,rozzúriť
189,,,,incense,popudiť
190,,,,infuriate,nahnevať
191,,,,ire,nazlostiť
192,,,,mad,DUPLICATE_rozčúliť
193,,,,madden,rozčúliť
194,,,,steam,NO_TRANSLATION
195,,,,umbrage,pohoršiť
196,,,,,"najedovať,nasrať,najebať"
197,L07_26,synonyms - intensity,jog,,klusať
198,,,,run,bežať
199,,,,scarper,zdrhnúť
200,,,,flee,utiecť
201,,,,fly,ujsť
203,L07_27,synonyms - intensity,lake,,jazero
204,,,,sea,more
205,,,,ocean,oceán
207,L07_28,synonyms - intensity,like,,páčiť_sa
208,,,,love,milovať
209,,,,care,mať_záujem
210,,,,fond,mať_rád
211,,,,crush,zaľúbenie
212,,,,infatuate,zaslepiť
214,L07_29,synonyms - intensity,love,,milovať
215,,,,adore,zbožňovať
216,,,,fetishize,fetišizovať
217,,,,idolize,idolizovať
218,,,,idolise,DUPLICATE_idolizovať
219,,,,worship,uctievať
220,,,,hero-worship,NO_TRANSLATION
221,,,,revere,ctiť
222,,,,,"obdivovať,ľúbiť,deifikovať"
223,L07_30,synonyms - intensity,monkey,,opica
224,,,,gorilla,gorila
226,L07_31,synonyms - intensity,nap,,zdriemnuť_si
227,,,,sleep,spať
228,,,,slumber,driemať
230,L07_32,synonyms - intensity,necessary,,nevyhnutný
231,,,,essential,esenciálny
232,,,,indispensable,DUPLICATE_nevyhnutný
233,,,,vital,životne_dôležitý
234,,,,required,vyžadovaný
235,,,,,nutný
236,L07_33,synonyms - intensity,opposed,,protichodný
237,,,,averse,proti
238,,,,antipathetic,antipatický
239,,,,antipathetical,DUPLICATE_antipatický
240,,,,indisposed,neochotný
241,,,,loath,DUPLICATE_neochotný
242,,,,loth,DUPLICATE_neochotný
244,L07_34,synonyms - intensity,pain,,bolesť
245,,,,torment,muky
246,,,,torture,mučenie
247,,,,agony,agónia
249,L07_35,synonyms - intensity,pony,,poník
250,,,,horse,kôň
252,L07_36,synonyms - intensity,poorly,,chorľavý
253,,,,afflicted,postihnutý
254,,,,sick,nezdravý
255,,,,ill,chorý
256,,,,stricken,NO_TRANSLATION
257,,,,,nemocný
258,L07_37,synonyms - intensity,rain,,dážď
259,,,,deluge,prietrž
260,,,,shower,prehánky
262,L07_38,synonyms - intensity,sad,,smutný
263,,,,desparate,zúfalý
264,,,,despondent,skormútený
265,,,,despairing,zúfajúci_si
266,,,,desponding,skleslý
267,,,,forlorn,bezútešný
268,,,,hopeless,beznádejný
269,,,,melancholy,melancholický
272,L07_39,synonyms - intensity,sea,,more
273,,,,ocean,oceán
275,L07_40,synonyms - intensity,snack,,snack
276,,,,meal,jedlo
277,,,,eat,jedenie
279,L07_41,synonyms - intensity,sniffles,,sople
280,,,,pneumonia,zápal_pľǔc
282,L07_42,synonyms - intensity,soon,,skoro
283,,,,immediately,okamžite
284,,,,promptly,promptne
285,,,,straightaway,hneď
287,L07_43,synonyms - intensity,strong,,silný
288,,,,powerful,mocný
289,,,,forceful,DUPLICATE_mocný
290,,,,super,super
291,,,,potent,potentný
292,,,,,nezdolný
293,L07_44,synonyms - intensity,tasty,,chutný
294,,,,delicious,znamenitý
295,,,,delectable,lahodný
296,,,,luscious,NO_TRANSLATION
297,,,,pleasant-tasting,chutiaci
298,,,,scrumptious,fajnový
299,,,,toothsome,DUPLICATE_NO_TRANSLATION
300,,,,yummy,DUPLICATE_NO_TRANSLATION
301,,,,mouth-watering,DUPLICATE_NO_TRANSLATION
302,,,,ambrosial,ako_ambrózia
303,,,,heavenly,DUPLICATE_NO_TRANSLATION
304,,,,,"šťavnatý,chrumkavý,príma"
305,L07_45,synonyms - intensity,tired,,unavený
306,,,,exhausted,vyčerpaný
307,,,,drained,DUPLICATE_vyčerpaný
308,,,,,ustatý
309,L07_46,synonyms - intensity,unfortunate,,nešťastný
310,,,,tragic,tragický
311,,,,woeful,žalostný
312,,,,grievous,bolestný
313,,,,wretched,úbohý
314,,,,miserable,biedny
315,,,,awful,hrozný
316,,,,lamentable,poľutovaniahodný
317,,,,regrettable,DUPLICATE_poľutovaniahodný
318,,,,desperate,zúfalý
319,,,,hopeless,beznádejný
320,,,,disastrous,katastrofálny
321,,,,,smutný
322,L07_47,synonyms - intensity,unhappy,,nešťastný
323,,,,miserable,biedny
324,,,,suffering,trpiaci
325,,,,wretched,úbohý
327,L07_48,synonyms - intensity,want,,chcieť
328,,,,crave,bažiť
329,,,,hunger,hladovať
330,,,,thirst,smädiť
331,,,,starve,NO_TRANSLATION
332,,,,lust,túžiť
333,,,,,priať_si
334,L07_49,synonyms - intensity,warm,,teplý
335,,,,hot,horúci
336,,,,fiery,ohnivý
337,,,,flaming,plamenný
338,,,,heated,zohriaty
339,,,,red-hot,žeravý
340,,,,sizzling,rozpálený
341,,,,sensual,NO_TRANSLATION
342,,,,sultry,dusný
343,,,,torrid,spálený
344,,,,white-hot,rozžeravený_do_biela
346,L07_50,synonyms - intensity,well,,dobre_na_tom
347,,,,flourishing,prekvitajúci
348,,,,robust,robustný
349,,,,booming,bujnejúci
350,,,,prospering,prosperujúci
351,,,,prosperous,DUPLICATE_prosperujúci
352,,,,thriving,úspešný
353,,,,,rozvíjajúci_sa
