,Language,a,b,c,d,prompts
116,HE,טלפון,תָא,רַצִיוֹנָלִי,"['הגיוני', 'קוהרנטי', 'סביר', 'שפוי_בדעתו']"," ל ""רַצִיוֹנָלִי"" כ ""תָא"" ל ""טלפון"""
117,HE,חָדָשׁ,לאחרונה,לא_נכון,"['לא_בסדר', 'נגדי', 'לא_מדויק', 'מַטעֶה', 'רָעוּעַ', 'כּוֹזֵב']"," ל ""לא_נכון"" כ ""לאחרונה"" ל ""חָדָשׁ"""
118,HE,בן_זוג,חצי_טוב_יותר,סלע,['אֶבֶן']," ל ""סלע"" כ ""חצי_טוב_יותר"" ל ""בן_זוג"""
119,HE,אוצר_מילים,לֵקסִיקוֹן,אוצר_מילים,"['לֵקסִיקוֹן', 'ספר_מילים', 'מילון', 'מילון_מונחים']"," ל ""אוצר_מילים"" כ ""לֵקסִיקוֹן"" ל ""אוצר_מילים"""
120,AL,bashkëshort,gjysma_më_e_mirë,shkëmb,['gur'],"""bashkëshort"" është për ""gjysma_më_e_mirë"" ashtu si ""shkëmb"" për "
121,AL,racional,koherent,racional,"['i_logjikshëm', 'koherent', 'i_arsyeshëm']","""racional"" është për ""koherent"" ashtu si ""racional"" për "
122,AL,vras,duke_vrarë,bashkëshort,"['partner', 'gjysma_më_e_mirë']","""vras"" është për ""duke_vrarë"" ashtu si ""bashkëshort"" për "
123,AL,homogjene,i_pandryshueshëm,bashkëshort,"['partner', 'gjysma_më_e_mirë']","""homogjene"" është për ""i_pandryshueshëm"" ashtu si ""bashkëshort"" për "
124,AL,monument,memorial,racional,"['i_logjikshëm', 'koherent', 'i_arsyeshëm']","""monument"" është për ""memorial"" ashtu si ""racional"" për "
125,AL,i_ri,bashkëkohor,shkëmb,['gur'],"""i_ri"" është për ""bashkëkohor"" ashtu si ""shkëmb"" për "
126,AL,i_organizuar,i_riorganizuar,homogjene,"['trajtë', 'i_pandryshueshëm']","""i_organizuar"" është për ""i_riorganizuar"" ashtu si ""homogjene"" për "
127,AL,fjalor,glosar,fjalor,"['leksik', 'fjalës', 'glosar']","""fjalor"" është për ""glosar"" ashtu si ""fjalor"" për "
128,AL,i_pasaktë,i_pavlefshëm,vras,"['duke_vrarë', 'vras', 'ekzekutoj']","""i_pasaktë"" është për ""i_pavlefshëm"" ashtu si ""vras"" për "
129,AL,monument,memorial,i_ri,"['modern', 'bashkëkohor']","""monument"" është për ""memorial"" ashtu si ""i_ri"" për "
130,AL,homogjene,i_pandryshueshëm,monument,['memorial'],"""homogjene"" është për ""i_pandryshueshëm"" ashtu si ""monument"" për "
131,AL,i_pasaktë,i_pavlefshëm,i_organizuar,"['i_rregulluar', 'i_konfiguruar', 'i_përbashkët', 'i_bashkuar', 'i_reformuar', 'i_riorganizuar']","""i_pasaktë"" është për ""i_pavlefshëm"" ashtu si ""i_organizuar"" për "
132,AL,bashkëshort,gjysma_më_e_mirë,i_ri,"['modern', 'bashkëkohor']","""bashkëshort"" është për ""gjysma_më_e_mirë"" ashtu si ""i_ri"" për "
133,AL,bashkëshort,gjysma_më_e_mirë,bashkëshort,"['partner', 'gjysma_më_e_mirë']","""bashkëshort"" është për ""gjysma_më_e_mirë"" ashtu si ""bashkëshort"" për "
134,AL,i_ri,bashkëkohor,fjalor,"['leksik', 'fjalës', 'glosar']","""i_ri"" është për ""bashkëkohor"" ashtu si ""fjalor"" për "
135,AL,racional,i_logjikshëm,telefon,"['qelizë_telefonike,_celular']","""racional"" është për ""i_logjikshëm"" ashtu si ""telefon"" për "
136,AL,bashkëshort,gjysma_më_e_mirë,telefon,"['qelizë_telefonike,_celular']","""bashkëshort"" është për ""gjysma_më_e_mirë"" ashtu si ""telefon"" për "
137,AL,racional,i_arsyeshëm,monument,['memorial'],"""racional"" është për ""i_arsyeshëm"" ashtu si ""monument"" për "
138,AL,racional,koherent,monument,['memorial'],"""racional"" është për ""koherent"" ashtu si ""monument"" për "
139,AL,fjalor,glosar,i_pasaktë,"['i_gabuar', 'fakte_kundërshtuese,_kundërfaktual', 'i_dyshimtë', 'i_pavlefshëm', 'i_pavërtetë', 'fals']","""fjalor"" është për ""glosar"" ashtu si ""i_pasaktë"" për "
140,AL,i_pasaktë,"fakte_kundërshtuese,_kundërfaktual",vras,"['duke_vrarë', 'vras', 'ekzekutoj']","""i_pasaktë"" është për ""fakte_kundërshtuese,_kundërfaktual"" ashtu si ""vras"" për "
141,AL,i_pasaktë,"fakte_kundërshtuese,_kundërfaktual",racional,"['i_logjikshëm', 'koherent', 'i_arsyeshëm']","""i_pasaktë"" është për ""fakte_kundërshtuese,_kundërfaktual"" ashtu si ""racional"" për "
142,AL,vras,duke_vrarë,shkëmb,['gur'],"""vras"" është për ""duke_vrarë"" ashtu si ""shkëmb"" për "
143,AL,fjalor,leksik,bashkëshort,"['partner', 'gjysma_më_e_mirë']","""fjalor"" është për ""leksik"" ashtu si ""bashkëshort"" për "
144,AL,racional,i_logjikshëm,i_pasaktë,"['i_gabuar', 'fakte_kundërshtuese,_kundërfaktual', 'i_dyshimtë', 'i_pavlefshëm', 'i_pavërtetë', 'fals']","""racional"" është për ""i_logjikshëm"" ashtu si ""i_pasaktë"" për "
145,AL,bashkëshort,gjysma_më_e_mirë,racional,"['i_logjikshëm', 'koherent', 'i_arsyeshëm']","""bashkëshort"" është për ""gjysma_më_e_mirë"" ashtu si ""racional"" për "
146,AL,telefon,"qelizë_telefonike,_celular",racional,"['i_logjikshëm', 'koherent', 'i_arsyeshëm']","""telefon"" është për ""qelizë_telefonike,_celular"" ashtu si ""racional"" për "
147,AL,i_ri,bashkëkohor,i_pasaktë,"['i_gabuar', 'fakte_kundërshtuese,_kundërfaktual', 'i_dyshimtë', 'i_pavlefshëm', 'i_pavërtetë', 'fals']","""i_ri"" është për ""bashkëkohor"" ashtu si ""i_pasaktë"" për "
148,AL,bashkëshort,gjysma_më_e_mirë,shkëmb,['gur'],"""bashkëshort"" është për ""gjysma_më_e_mirë"" ashtu si ""shkëmb"" për "
149,AL,fjalor,leksik,fjalor,"['leksik', 'fjalës', 'glosar']","""fjalor"" është për ""leksik"" ashtu si ""fjalor"" për "
150,BM,furumuso,tɔkelen,farakurun,['gabakurun'],"""furumuso"" is to ""tɔkelen"" as ""farakurun"" is to "
151,BM,nafaman,bɛnkansɛbɛnw,nafaman,"['hakilinata-jɔ-cogow', 'bɛnkansɛbɛnw', 'fisa', 'kɛnɛman']","""nafaman"" is to ""bɛnkansɛbɛnw"" as ""nafaman"" is to "
152,BM,mɔgɔfaga,fagali,furumuso,"['jɛɲɔgɔn', 'tɔɲɔgɔn', 'tɔkelen']","""mɔgɔfaga"" is to ""fagali"" as ""furumuso"" is to "
153,BM,kelen-kelen,min_te_falen,furumuso,"['jɛɲɔgɔn', 'tɔɲɔgɔn', 'tɔkelen']","""kelen-kelen"" is to ""min_te_falen"" as ""furumuso"" is to "
154,BM,kabakomayɔrɔ,hakilijigin_don,nafaman,"['hakilinata-jɔ-cogow', 'bɛnkansɛbɛnw', 'fisa', 'kɛnɛman']","""kabakomayɔrɔ"" is to ""hakilijigin_don"" as ""nafaman"" is to "
155,BM,kura,kɔsa_in_na,farakurun,['gabakurun'],"""kura"" is to ""kɔsa_in_na"" as ""farakurun"" is to "
156,BM,labɛnna,labɛnna_kokura,kelen-kelen,['min_te_falen'],"""labɛnna"" is to ""labɛnna_kokura"" as ""kelen-kelen"" is to "
157,BM,wokabilɛri,daɲɛgafe_kɔnɔ,wokabilɛri,"['daɲɛgafe', 'daɲɛgafe_kɔnɔ']","""wokabilɛri"" is to ""daɲɛgafe_kɔnɔ"" as ""wokabilɛri"" is to "
