,Language,a,b,c,d,prompts
63,SK,jazero,more,zaujímavý,"['vzrušujúci', 'povznášajúci', 'inšpirujúci', 'opojný', 'stimulujúci', 'strhujúci', 'pútavý', 'dojemný', 'provokatívny', 'stúpajúci_do_hlavy', 'napínavý', 'fascinujúci,pôsobivý,dych_vyrážajúci,farbistý,sugestívny,obsažný']","Slovo ""jazero""  sa má k slovu ""more"" ako slovo ""zaujímavý"" k slovu "
64,SK,zaujímavý,stimulujúci,zaujímavý,"['vzrušujúci', 'povznášajúci', 'inšpirujúci', 'opojný', 'stimulujúci', 'strhujúci', 'pútavý', 'dojemný', 'provokatívny', 'stúpajúci_do_hlavy', 'napínavý', 'fascinujúci,pôsobivý,dych_vyrážajúci,farbistý,sugestívny,obsažný']","Slovo ""zaujímavý""  sa má k slovu ""stimulujúci"" ako slovo ""zaujímavý"" k slovu "
65,SK,nešťastný,tragický,nešťastný,"['tragický', 'žalostný', 'bolestný', 'úbohý', 'biedny', 'hrozný', 'poľutovaniahodný', 'zúfalý', 'beznádejný', 'katastrofálny', 'smutný']","Slovo ""nešťastný""  sa má k slovu ""tragický"" ako slovo ""nešťastný"" k slovu "
66,SK,snack,jedlo,zdriemnuť_si,"['spať', 'driemať']","Slovo ""snack""  sa má k slovu ""jedlo"" ako slovo ""zdriemnuť_si"" k slovu "
67,SK,silný,super,dobre_na_tom,"['prekvitajúci', 'robustný', 'bujnejúci', 'prosperujúci', 'úspešný', 'rozvíjajúci_sa']","Slovo ""silný""  sa má k slovu ""super"" ako slovo ""dobre_na_tom"" k slovu "
68,SK,mrholenie,dážď,chichot,"['smiech', 'rehot', 'radostný_smiech', 'chechot', 'chechtanie', 'chichúňanie', 'hurónsky_smiech']","Slovo ""mrholenie""  sa má k slovu ""dážď"" ako slovo ""chichot"" k slovu "
69,SK,zaujímavý,provokatívny,teplý,"['horúci', 'ohnivý', 'plamenný', 'zohriaty', 'žeravý', 'rozpálený', 'dusný', 'spálený', 'rozžeravený_do_biela']","Slovo ""zaujímavý""  sa má k slovu ""provokatívny"" ako slovo ""teplý"" k slovu "
70,SK,zlý,nevysloviteľný,opica,['gorila'],"Slovo ""zlý""  sa má k slovu ""nevysloviteľný"" ako slovo ""opica"" k slovu "
71,SK,nešťastný,trpiaci,mačka,"['lev', 'tiger', 'leopard', 'panter', 'jaguár']","Slovo ""nešťastný""  sa má k slovu ""trpiaci"" ako slovo ""mačka"" k slovu "
72,SK,dom,hrad,plakať,"['vrieskať', 'vrešťať', 'škriekať']","Slovo ""dom""  sa má k slovu ""hrad"" ako slovo ""plakať"" k slovu "
73,SK,tvorivý,originálny,mrholenie,"['dážď', 'prehánky', 'lejak', 'prietrž']","Slovo ""tvorivý""  sa má k slovu ""originálny"" ako slovo ""mrholenie"" k slovu "
74,SK,more,oceán,nemať_rád,"['nenávidieť', 'hnusiť_sa', 'protiviť_sa', 'bridiť_sa', 'mať_odpor', 'hroziť_sa', 'opovrhovať', 'pohŕdať', 'zaznávať,neznášať']","Slovo ""more""  sa má k slovu ""oceán"" ako slovo ""nemať_rád"" k slovu "
75,SK,chcieť,túžiť,páčiť_sa,"['milovať', 'mať_záujem', 'mať_rád', 'zaľúbenie', 'zaslepiť']","Slovo ""chcieť""  sa má k slovu ""túžiť"" ako slovo ""páčiť_sa"" k slovu "
76,SK,chcieť,hladovať,chcieť,"['bažiť', 'hladovať', 'smädiť', 'túžiť', 'priať_si']","Slovo ""chcieť""  sa má k slovu ""hladovať"" ako slovo ""chcieť"" k slovu "
77,SK,zmätený,stratený,smutný,"['zúfalý', 'skormútený', 'zúfajúci_si', 'skleslý', 'bezútešný', 'beznádejný', 'melancholický']","Slovo ""zmätený""  sa má k slovu ""stratený"" ako slovo ""smutný"" k slovu "
78,SK,chichot,hurónsky_smiech,teplý,"['horúci', 'ohnivý', 'plamenný', 'zohriaty', 'žeravý', 'rozpálený', 'dusný', 'spálený', 'rozžeravený_do_biela']","Slovo ""chichot""  sa má k slovu ""hurónsky_smiech"" ako slovo ""teplý"" k slovu "
79,SK,snack,jedenie,bolesť,"['muky', 'mučenie', 'agónia']","Slovo ""snack""  sa má k slovu ""jedenie"" ako slovo ""bolesť"" k slovu "
80,SK,chcieť,smädiť,chichot,"['smiech', 'rehot', 'radostný_smiech', 'chechot', 'chechtanie', 'chichúňanie', 'hurónsky_smiech']","Slovo ""chcieť""  sa má k slovu ""smädiť"" ako slovo ""chichot"" k slovu "
81,SK,skoro,promptne,zlý,"['hrozný', 'zverský', 'ohavný', 'príšerný', 'bolestivý', 'strašný', 'nevysloviteľný']","Slovo ""skoro""  sa má k slovu ""promptne"" ako slovo ""zlý"" k slovu "
82,SK,skoro,okamžite,dom,"['palác', 'hrad']","Slovo ""skoro""  sa má k slovu ""okamžite"" ako slovo ""dom"" k slovu "
83,SK,mačka,panter,iritovať,"['rozzúriť', 'popudiť', 'nahnevať', 'nazlostiť', 'rozčúliť', 'pohoršiť', 'najedovať,nasrať,najebať']","Slovo ""mačka""  sa má k slovu ""panter"" ako slovo ""iritovať"" k slovu "
84,SK,vinný,nehodný,šťastný,"['extatický', 'očarený', 'úchvatný', 'uchvátený', 'vo_vytržení']","Slovo ""vinný""  sa má k slovu ""nehodný"" ako slovo ""šťastný"" k slovu "
85,SK,vzrušený,rozrušený,poník,['kôň'],"Slovo ""vzrušený""  sa má k slovu ""rozrušený"" ako slovo ""poník"" k slovu "
86,SK,vlhký,nasýtený,zaujímavý,"['vzrušujúci', 'povznášajúci', 'inšpirujúci', 'opojný', 'stimulujúci', 'strhujúci', 'pútavý', 'dojemný', 'provokatívny', 'stúpajúci_do_hlavy', 'napínavý', 'fascinujúci,pôsobivý,dych_vyrážajúci,farbistý,sugestívny,obsažný']","Slovo ""vlhký""  sa má k slovu ""nasýtený"" ako slovo ""zaujímavý"" k slovu "
87,SK,nevyhnutný,vyžadovaný,bolesť,"['muky', 'mučenie', 'agónia']","Slovo ""nevyhnutný""  sa má k slovu ""vyžadovaný"" ako slovo ""bolesť"" k slovu "
88,SK,vinný,trúchlivý,podriemkávať,"['spať', 'driemať']","Slovo ""vinný""  sa má k slovu ""trúchlivý"" ako slovo ""podriemkávať"" k slovu "
89,SK,chutný,chutiaci,chorľavý,"['postihnutý', 'nezdravý', 'chorý', 'nemocný']","Slovo ""chutný""  sa má k slovu ""chutiaci"" ako slovo ""chorľavý"" k slovu "
90,HE,ארוחת_ערב,חַג,נעים,"['חַם', 'לוֹהֵט', 'מְחוּמָם', 'רותח', 'רוחש', 'חוּשָׁנִי', 'מַחֲנִיק']"," ל ""נעים"" כ ""חַג"" ל ""ארוחת_ערב"""
91,HE,אהבה,לְהַעֲרִיץ,חתול,"['אַריֵה', 'נָמֵר', 'פַּנתֵר', 'יָגוּאָר']"," ל ""חתול"" כ ""לְהַעֲרִיץ"" ל ""אהבה"""
92,HE,מְבוּלבָּל,לכוד,טוב,"['פְּרִיחָה', 'חָסוֹן', 'פורץ', 'מְשַׂגשֵׂג']"," ל ""טוב"" כ ""לכוד"" ל ""מְבוּלבָּל"""
93,HE,אֲגַם,יָם,מעניין,"['מְרַגֵשׁ', 'מרנין', 'מַדְהִים', 'מעורר_השראה', 'מְשַׁכֵּר', 'מַלהִיב', 'מְגָרֶה', 'מושך_לב', 'מעניין', 'מסקרן', 'מעבר_דירה', 'פּרוֹבוֹקָטִיבִי']"," ל ""מעניין"" כ ""יָם"" ל ""אֲגַם"""
94,HE,מעניין,מְגָרֶה,מעניין,"['מְרַגֵשׁ', 'מרנין', 'מַדְהִים', 'מעורר_השראה', 'מְשַׁכֵּר', 'מַלהִיב', 'מְגָרֶה', 'מושך_לב', 'מעניין', 'מסקרן', 'מעבר_דירה', 'פּרוֹבוֹקָטִיבִי']"," ל ""מעניין"" כ ""מְגָרֶה"" ל ""מעניין"""
95,HE,חסר_מזל,טְרָגִי,חסר_מזל,"['טְרָגִי', 'עָצוּב', 'חָמוּר', 'אוּמלָל', 'נורא', 'מְצַעֵר', 'נוֹאָשׁ', 'אָבוּד', 'אסון']"," ל ""חסר_מזל"" כ ""טְרָגִי"" ל ""חסר_מזל"""
96,HE,חָטִיף,ארוחה,תְנוּמָה,"['לִישׁוֹן', 'תרדמה']"," ל ""תְנוּמָה"" כ ""ארוחה"" ל ""חָטִיף"""
97,HE,חָזָק,סוּפֶּר,טוב,"['פְּרִיחָה', 'חָסוֹן', 'פורץ', 'מְשַׂגשֵׂג']"," ל ""טוב"" כ ""סוּפֶּר"" ל ""חָזָק"""
98,HE,זרזיף,גֶשֶׁם,צחקוק,"['לִצְחוֹק', 'תרועת_צחוק', 'לְצַחְקֵק', 'לְגַחֵך', 'שְׁאָגָה']"," ל ""צחקוק"" כ ""גֶשֶׁם"" ל ""זרזיף"""
99,HE,מעניין,פּרוֹבוֹקָטִיבִי,נעים,"['חַם', 'לוֹהֵט', 'מְחוּמָם', 'רותח', 'רוחש', 'חוּשָׁנִי', 'מַחֲנִיק']"," ל ""נעים"" כ ""פּרוֹבוֹקָטִיבִי"" ל ""מעניין"""
100,HE,רַע,בלתי_ניתן_לתיאור,קוֹף,['גוֹרִילָה']," ל ""קוֹף"" כ ""בלתי_ניתן_לתיאור"" ל ""רַע"""
101,HE,אוּמלָל,סֵבֶל,חתול,"['אַריֵה', 'נָמֵר', 'פַּנתֵר', 'יָגוּאָר']"," ל ""חתול"" כ ""סֵבֶל"" ל ""אוּמלָל"""
102,HE,בַּיִת,טִירָה,בוכה,"['לִצְרוֹחַ', 'לִצווֹחַ', 'צורח']"," ל ""בוכה"" כ ""טִירָה"" ל ""בַּיִת"""
103,HE,יְצִירָתִי,מְקוֹרִי,זרזיף,"['גֶשֶׁם', 'מִקלַחַת', 'ירידת_גשמים', 'מַבּוּל']"," ל ""זרזיף"" כ ""מְקוֹרִי"" ל ""יְצִירָתִי"""
104,HE,יָם,אוקיינוס,לִשְׂנוֹא,"['שִׂנאָה', 'לתעב', 'תִּעֵב', 'לגנות', 'לָבוּז', 'לַעַג', 'בּוּז']"," ל ""לִשְׂנוֹא"" כ ""אוקיינוס"" ל ""יָם"""
105,HE,רוצה,תְשׁוּקָה,לחבב,"['אהבה', 'לְטַפֵּל', 'מחבב', 'הדלקות', 'אהוב']"," ל ""לחבב"" כ ""תְשׁוּקָה"" ל ""רוצה"""
106,HE,רוצה,רעב,רוצה,"['לְהִשְׁתוֹקֵק', 'רעב', 'צָמָא', 'לְהַרְעִיב', 'תְשׁוּקָה']"," ל ""רוצה"" כ ""רעב"" ל ""רוצה"""
107,HE,מְבוּלבָּל,אבוד,עָצוּב,"['נואש', 'מְדוּכדָך', 'מיואש', 'נדנדה', 'גַלמוּד', 'אָבוּד', 'עֶצֶב']"," ל ""עָצוּב"" כ ""אבוד"" ל ""מְבוּלבָּל"""
108,HE,צחקוק,שְׁאָגָה,נעים,"['חַם', 'לוֹהֵט', 'מְחוּמָם', 'רותח', 'רוחש', 'חוּשָׁנִי', 'מַחֲנִיק']"," ל ""נעים"" כ ""שְׁאָגָה"" ל ""צחקוק"""
109,HE,חָטִיף,לאכול,כְּאֵב,"['לַעֲנוֹת', 'יסורים']"," ל ""כְּאֵב"" כ ""לאכול"" ל ""חָטִיף"""
110,HE,רוצה,צָמָא,צִחקוּק,"['לִצְחוֹק', 'תרועת_צחוק', 'לְצַחְקֵק', 'לְגַחֵך', 'שְׁאָגָה']"," ל ""צִחקוּק"" כ ""צָמָא"" ל ""רוצה"""
111,HE,בקרוב,באופן_מיידי,רַע,"['מְתוֹעָב', 'אָיוֹם', 'כּוֹאֵב', 'נורא', 'בלתי_ניתן_לתיאור']"," ל ""רַע"" כ ""באופן_מיידי"" ל ""בקרוב"""
112,HE,בקרוב,מיד,בַּיִת,"['אַרְמוֹן', 'טִירָה']"," ל ""בַּיִת"" כ ""מיד"" ל ""בקרוב"""
113,HE,חתול,פַּנתֵר,לְגָרוֹת,"['לְהַכעִיס', 'להעלות_חמה', 'לְהַרְתִיחַ', 'כַּעַס', 'מְטוּרָף', 'לְשַׁגֵעַ', 'קִיטוֹר', 'עֶלבּוֹן']"," ל ""לְגָרוֹת"" כ ""פַּנתֵר"" ל ""חתול"""
114,HE,אָשֵׁם,לא_ראוי,שַׂמֵחַ,"['אֶקסְטָטִי', 'נטוש', 'מְשׁוּלהָב', 'נלהב', 'נלהב_ביותר']"," ל ""שַׂמֵחַ"" כ ""לא_ראוי"" ל ""אָשֵׁם"""
115,HE,נִרגָשׁ,נִסעָר,פוני,['סוּס']," ל ""פוני"" כ ""נִסעָר"" ל ""נִרגָשׁ"""
116,HE,לח,רָווּי,מעניין,"['מְרַגֵשׁ', 'מרנין', 'מַדְהִים', 'מעורר_השראה', 'מְשַׁכֵּר', 'מַלהִיב', 'מְגָרֶה', 'מושך_לב', 'מעניין', 'מסקרן', 'מעבר_דירה', 'פּרוֹבוֹקָטִיבִי']"," ל ""מעניין"" כ ""רָווּי"" ל ""לח"""
117,HE,נחוץ,נדרש,כְּאֵב,"['לַעֲנוֹת', 'יסורים']"," ל ""כְּאֵב"" כ ""נדרש"" ל ""נחוץ"""
118,HE,אָשֵׁם,עָצוּב,לְנַמְנֵם,"['לִישׁוֹן', 'תְנוּמָה']"," ל ""לְנַמְנֵם"" כ ""עָצוּב"" ל ""אָשֵׁם"""
119,HE,טָעִים,טעם_נעים,בצורה_גרועה,"['מְעוּנֶה', 'חוֹלֶה', 'מוּכֶּה']"," ל ""בצורה_גרועה"" כ ""טעם_נעים"" ל ""טָעִים"""
120,AL,darkë,gosti,i_ngrohtë,"['i_nxehtë', 'i_zjarrtë', 'flakëruese', 'i_ngrohur', 'e_nxehtë_flakë', 'shumë_e_nxehtë', 'e_ndjeshme', 'përvëlues']","""darkë"" është për ""gosti"" ashtu si ""i_ngrohtë"" për "
121,AL,dashuroj,adhuroj,mace,"['luan', 'tigër', 'leopard', 'panterë', 'xhaguar']","""dashuroj"" është për ""adhuroj"" ashtu si ""mace"" për "
122,AL,"i_ngatërruar,_i_hutuar",i_bllokuar,i_mirë,"['i_lulëzuar', 'i_fuqishëm', 'në_lulëzim', 'i_begatë', 'i_begatshëm', 'duke_lulëzuar']","""i_ngatërruar,_i_hutuar"" është për ""i_bllokuar"" ashtu si ""i_mirë"" për "
123,AL,liqen,det,interesante,"['emocionuese', 'ngazëllyes', 'ngazëllyese', 'frymëzuese', 'dehëse', 'e_gjallë', 'stimuluese', 'energjike', 'mahnitëse', 'intriguese', 'prekëse', 'provokative', 'marramendëse', 'drithëruese']","""liqen"" është për ""det"" ashtu si ""interesante"" për "
124,AL,interesante,stimuluese,interesante,"['emocionuese', 'ngazëllyes', 'ngazëllyese', 'frymëzuese', 'dehëse', 'e_gjallë', 'stimuluese', 'energjike', 'mahnitëse', 'intriguese', 'prekëse', 'provokative', 'marramendëse', 'drithëruese']","""interesante"" është për ""stimuluese"" ashtu si ""interesante"" për "
125,AL,i_pafat,tragjike,i_pafat,"['tragjike', 'i_brengosur', 'fatkeq', 'i_mjerë', 'i_tmerrshëm', 'vajtuese', 'i_keqardhur', 'i_trishtuar', 'i_pashpresë', 'i_shkatërruar']","""i_pafat"" është për ""tragjike"" ashtu si ""i_pafat"" për "
126,AL,vakt_i_ndërmjetëm,"vakt,_ushqim",dremis,['flej'],"""vakt_i_ndërmjetëm"" është për ""vakt,_ushqim"" ashtu si ""dremis"" për "
127,AL,i_fortë,super,i_mirë,"['i_lulëzuar', 'i_fuqishëm', 'në_lulëzim', 'i_begatë', 'i_begatshëm', 'duke_lulëzuar']","""i_fortë"" është për ""super"" ashtu si ""i_mirë"" për "
