,Language,a,b,c,d,prompts
58,SL,krščanski,župnija,knjiga,"['knjižnica', 'polica', 'zbirja', 'računovodstvo', 'računovodski_sistem', 'metoda_zaračunavanja']","Beseda ""krščanski"" je besedi ""župnija"" enako, kot je beseda ""knjiga"" besedi "
59,SL,ovca,jata,knjiga,"['knjižnica', 'polica', 'zbirja', 'računovodstvo', 'računovodski_sistem', 'metoda_zaračunavanja']","Beseda ""ovca"" je besedi ""jata"" enako, kot je beseda ""knjiga"" besedi "
60,SK,kvet,kytica,policajt,['polícia'],"Slovo ""kvet""  sa má k slovu ""kytica"" ako slovo ""policajt"" k slovu "
61,SK,vojak,armáda,strom,"['les', 'háj', 'lesík']","Slovo ""vojak""  sa má k slovu ""armáda"" ako slovo ""strom"" k slovu "
62,SK,mačiatko,vrh,vlk,['svorka'],"Slovo ""mačiatko""  sa má k slovu ""vrh"" ako slovo ""vlk"" k slovu "
63,SK,kniha,učtovná_metóda,vták,['kŕdeľ'],"Slovo ""kniha""  sa má k slovu ""učtovná_metóda"" ako slovo ""vták"" k slovu "
64,SK,fotografia,album,manželský_partner,"['pár', 'vzťah', 'rodina']","Slovo ""fotografia""  sa má k slovu ""album"" ako slovo ""manželský_partner"" k slovu "
65,SK,manželský_partner,vzťah,zamestanec,"['personál', 'spoločnosť']","Slovo ""manželský_partner""  sa má k slovu ""vzťah"" ako slovo ""zamestanec"" k slovu "
66,SK,sekretárka,personál,písmeno,['abeceda'],"Slovo ""sekretárka""  sa má k slovu ""personál"" ako slovo ""písmeno"" k slovu "
67,SK,slovo,veta,kvet,"['kytica', 'zväzok']","Slovo ""slovo""  sa má k slovu ""veta"" ako slovo ""kvet"" k slovu "
68,SK,osoba,svet,manželský_partner,"['pár', 'vzťah', 'rodina']","Slovo ""osoba""  sa má k slovu ""svet"" ako slovo ""manželský_partner"" k slovu "
69,SK,okres,krajina,porotca,['porota'],"Slovo ""okres""  sa má k slovu ""krajina"" ako slovo ""porotca"" k slovu "
70,SK,teľa,dobytok,člen,"['klub', 'tím', 'skupina', 'komunita', 'družina']","Slovo ""teľa""  sa má k slovu ""dobytok"" ako slovo ""člen"" k slovu "
71,SK,slovo,odsek,divízia,"['spoločnosť', 'obchod', 'čata', 'vojenská_jednotka']","Slovo ""slovo""  sa má k slovu ""odsek"" ako slovo ""divízia"" k slovu "
72,SK,spevák,skupina,spevák,"['zbor', 'skupina', 'duo', 'trio', 'kvarteto']","Slovo ""spevák""  sa má k slovu ""skupina"" ako slovo ""spevák"" k slovu "
73,SK,sekretárka,komora,pesnička,"['album', 'zbierka_piesní', 'antológia', 'hudobná_knižnica']","Slovo ""sekretárka""  sa má k slovu ""komora"" ako slovo ""pesnička"" k slovu "
74,SK,kniha,polička,člen,"['klub', 'tím', 'skupina', 'komunita', 'družina']","Slovo ""kniha""  sa má k slovu ""polička"" ako slovo ""člen"" k slovu "
75,SK,fakulta,univerzita,hráč,"['tím', 'skupina', 'orchester']","Slovo ""fakulta""  sa má k slovu ""univerzita"" ako slovo ""hráč"" k slovu "
76,SK,kniha,účtovníctvo,hviezda,"['súhvezdie', 'galaxia']","Slovo ""kniha""  sa má k slovu ""účtovníctvo"" ako slovo ""hviezda"" k slovu "
77,SK,spevák,kvarteto,vagón,"['vlak', 'súprava']","Slovo ""spevák""  sa má k slovu ""kvarteto"" ako slovo ""vagón"" k slovu "
78,SK,kresťan,cirkev,slon,['stádo'],"Slovo ""kresťan""  sa má k slovu ""cirkev"" ako slovo ""slon"" k slovu "
79,SK,včela,úľ,včela,"['roj', 'úľ', 'kolónia', 'hniezdo']","Slovo ""včela""  sa má k slovu ""úľ"" ako slovo ""včela"" k slovu "
80,SK,hus,kŕdeľ,včela,"['roj', 'úľ', 'kolónia', 'hniezdo']","Slovo ""hus""  sa má k slovu ""kŕdeľ"" ako slovo ""včela"" k slovu "
81,SK,člen,komunita,strana,"['kniha', 'zápisník']","Slovo ""člen""  sa má k slovu ""komunita"" ako slovo ""strana"" k slovu "
82,SK,spevák,duo,fotografia,"['album', 'zbierka_fotografií', 'fotoalbum']","Slovo ""spevák""  sa má k slovu ""duo"" ako slovo ""fotografia"" k slovu "
83,SK,žiak,trieda,strana,"['kniha', 'zápisník']","Slovo ""žiak""  sa má k slovu ""trieda"" ako slovo ""strana"" k slovu "
84,SK,včela,kolónia,vojak,"['armáda', 'jednotka', 'divízia', 'oddiel']","Slovo ""včela""  sa má k slovu ""kolónia"" ako slovo ""vojak"" k slovu "
85,SK,spevák,trio,lev,['stádo'],"Slovo ""spevák""  sa má k slovu ""trio"" ako slovo ""lev"" k slovu "
86,SK,pesnička,album,zamestanec,"['personál', 'spoločnosť']","Slovo ""pesnička""  sa má k slovu ""album"" ako slovo ""zamestanec"" k slovu "
87,SK,kresťan,kongregácia,občan,"['krajina', 'štát', 'občianska_spoločnosť']","Slovo ""kresťan""  sa má k slovu ""kongregácia"" ako slovo ""občan"" k slovu "
88,SK,kresťan,farnosť,kniha,"['knižnica', 'polička', 'zbierka', 'účtovníctvo', 'účtovný_systém', 'učtovná_metóda']","Slovo ""kresťan""  sa má k slovu ""farnosť"" ako slovo ""kniha"" k slovu "
89,SK,ovca,stádo,kniha,"['knižnica', 'polička', 'zbierka', 'účtovníctvo', 'účtovný_systém', 'učtovná_metóda']","Slovo ""ovca""  sa má k slovu ""stádo"" ako slovo ""kniha"" k slovu "
90,HE,פֶּרַח,זר,שׁוֹטֵר,['מִשׁטָרָה']," ל ""שׁוֹטֵר"" כ ""זר"" ל ""פֶּרַח"""
91,HE,לוֹחֶם,צָבָא,עֵץ,"['יַעַר', 'חוּרשָׁה']"," ל ""עֵץ"" כ ""צָבָא"" ל ""לוֹחֶם"""
92,HE,גור_חתולים,גורים,זְאֵב,['להקה']," ל ""זְאֵב"" כ ""גורים"" ל ""גור_חתולים"""
93,HE,סֵפֶר,שיטת_החשבונאות,ציפור,['עֵדֶר']," ל ""ציפור"" כ ""שיטת_החשבונאות"" ל ""סֵפֶר"""
94,HE,תמונה,אַלבּוֹם,בן_זוג,"['זוּג', 'מערכת_יחסים', 'מִשׁפָּחָה']"," ל ""בן_זוג"" כ ""אַלבּוֹם"" ל ""תמונה"""
95,HE,בן_זוג,מערכת_יחסים,עוֹבֵד,"['צוות', 'חֶברָה']"," ל ""עוֹבֵד"" כ ""מערכת_יחסים"" ל ""בן_זוג"""
96,HE,מזכיר,סגל,מִכְתָב,['אלף_בית']," ל ""מִכְתָב"" כ ""סגל"" ל ""מזכיר"""
97,HE,מִלָה,משפט,פֶּרַח,"['זר', 'צְרוֹר']"," ל ""פֶּרַח"" כ ""משפט"" ל ""מִלָה"""
98,HE,אדם,עוֹלָם,בן_זוג,"['זוּג', 'מערכת_יחסים', 'מִשׁפָּחָה']"," ל ""בן_זוג"" כ ""עוֹלָם"" ל ""אדם"""
99,HE,מָחוֹז,מדינה,מוּשׁבָּע,['חבר_מושבעים']," ל ""מוּשׁבָּע"" כ ""מדינה"" ל ""מָחוֹז"""
100,HE,עגל,בקר,חבר,"['מוֹעֲדוֹן', 'קְבוּצָה', 'להקה', 'קהילה']"," ל ""חבר"" כ ""בקר"" ל ""עגל"""
101,HE,מִלָה,פסקה,חֲלוּקָה,"['חֶברָה', 'עֵסֶק', 'מחלקה_צבאית', 'קבוצת_קרב']"," ל ""חֲלוּקָה"" כ ""פסקה"" ל ""מִלָה"""
102,HE,זמר,להקה,זמר,"['מקהלה', 'להקה', 'זוג', 'שִׁלוּשׁ', 'רביעייה']"," ל ""זמר"" כ ""להקה"" ל ""זמר"""
103,HE,מזכיר,בַּיִת,שִׁיר,"['אַלבּוֹם', 'אוסף', 'אַנתוֹלוֹגִיָה', 'סִפְרִיָה']"," ל ""שִׁיר"" כ ""בַּיִת"" ל ""מזכיר"""
104,HE,סֵפֶר,מַדָף,חבר,"['מוֹעֲדוֹן', 'קְבוּצָה', 'להקה', 'קהילה']"," ל ""חבר"" כ ""מַדָף"" ל ""סֵפֶר"""
105,HE,מִכלָלָה,אוּנִיבֶרְסִיטָה,שחקן,"['קְבוּצָה', 'אורכסטרה']"," ל ""שחקן"" כ ""אוּנִיבֶרְסִיטָה"" ל ""מִכלָלָה"""
106,HE,סֵפֶר,ראיית_חשבון,כוכב,"['קבוצת_כוכיבם', 'גָלַקסִיָה']"," ל ""כוכב"" כ ""ראיית_חשבון"" ל ""סֵפֶר"""
107,HE,זמר,רביעייה,אוטו,"['רכבת', 'תַהֲלוּכָה']"," ל ""אוטו"" כ ""רביעייה"" ל ""זמר"""
108,HE,נוצרי,כְּנֵסִיָה,פיל,['עֵדֶר']," ל ""פיל"" כ ""כְּנֵסִיָה"" ל ""נוצרי"""
109,HE,דבורה,כוורת,דבורה,"['נָחִיל', 'כוורת', 'מוֹשָׁבָה', 'סְחִיפָה', 'ללהק', 'קֵן', 'המון', 'מעמד']"," ל ""דבורה"" כ ""כוורת"" ל ""דבורה"""
110,HE,אווז,לַהֲקָה,דבורה,"['נָחִיל', 'כוורת', 'מוֹשָׁבָה', 'סְחִיפָה', 'ללהק', 'קֵן', 'המון', 'מעמד']"," ל ""דבורה"" כ ""לַהֲקָה"" ל ""אווז"""
111,HE,חבר,קהילה,עמוד,"['סֵפֶר', 'מחברת', 'אתר_אינטרנט']"," ל ""עמוד"" כ ""קהילה"" ל ""חבר"""
112,HE,זמר,זוג,תמונה,"['אַלבּוֹם', 'אוסף', 'סִפְרִיָה']"," ל ""תמונה"" כ ""זוג"" ל ""זמר"""
113,HE,סטוּדֶנט,כיתה,עמוד,"['סֵפֶר', 'מחברת', 'אתר_אינטרנט']"," ל ""עמוד"" כ ""כיתה"" ל ""סטוּדֶנט"""
114,HE,דבורה,מוֹשָׁבָה,לוֹחֶם,"['צָבָא', 'יחידה', 'מחלקה', 'גְדוּד']"," ל ""לוֹחֶם"" כ ""מוֹשָׁבָה"" ל ""דבורה"""
115,HE,זמר,שִׁלוּשׁ,אַריֵה,['להקת_אריות']," ל ""אַריֵה"" כ ""שִׁלוּשׁ"" ל ""זמר"""
116,HE,שִׁיר,אַלבּוֹם,עוֹבֵד,"['צוות', 'חֶברָה']"," ל ""עוֹבֵד"" כ ""אַלבּוֹם"" ל ""שִׁיר"""
117,HE,נוצרי,עֵדָה,אֶזרָח,"['ציבור_האזרחים', 'מדינה']"," ל ""אֶזרָח"" כ ""עֵדָה"" ל ""נוצרי"""
118,HE,נוצרי,קהילה,סֵפֶר,"['סִפְרִיָה', 'מַדָף', 'אוסף', 'ראיית_חשבון', 'מערכת_ניהול_חשבונות', 'שיטת_החשבונאות']"," ל ""סֵפֶר"" כ ""קהילה"" ל ""נוצרי"""
119,HE,כבשים,עֵדֶר,סֵפֶר,"['סִפְרִיָה', 'מַדָף', 'אוסף', 'ראיית_חשבון', 'מערכת_ניהול_חשבונות', 'שיטת_החשבונאות']"," ל ""סֵפֶר"" כ ""עֵדֶר"" ל ""כבשים"""
120,AL,lule,buqetë,polic,['polici'],"""lule"" është për ""buqetë"" ashtu si ""polic"" për "
121,AL,ushtar,ushtri,pemë,"['pyll', 'pyllishtë', 'korije']","""ushtar"" është për ""ushtri"" ashtu si ""pemë"" për "
122,AL,kotele,pjellë,ujk,['kope'],"""kotele"" është për ""pjellë"" ashtu si ""ujk"" për "
123,AL,libër,metodë_kontabiliteti,zog,['tufë'],"""libër"" është për ""metodë_kontabiliteti"" ashtu si ""zog"" për "
124,AL,fotografi,album,bashkëshort,"['çift', 'marrëdhënie', 'familje']","""fotografi"" është për ""album"" ashtu si ""bashkëshort"" për "
125,AL,bashkëshort,marrëdhënie,punonjës,"['staf', 'kompani']","""bashkëshort"" është për ""marrëdhënie"" ashtu si ""punonjës"" për "
126,AL,sekretar,staf,shkronjë,['alfabet'],"""sekretar"" është për ""staf"" ashtu si ""shkronjë"" për "
127,AL,fjalë,fjali,lule,"['buqetë', 'tufë']","""fjalë"" është për ""fjali"" ashtu si ""lule"" për "
128,AL,person,botë,bashkëshort,"['çift', 'marrëdhënie', 'familje']","""person"" është për ""botë"" ashtu si ""bashkëshort"" për "
129,AL,vend,vend,anëtar_jurie,['juri'],"""vend"" është për ""vend"" ashtu si ""anëtar_jurie"" për "
130,AL,viç,bagëti,anëtar,"['klub', 'skuadër', 'grup', 'bandë', 'komunitet']","""viç"" është për ""bagëti"" ashtu si ""anëtar"" për "
131,AL,fjalë,paragraf,ndarje,"['kompani', 'biznes', 'togë', 'grup_beteje']","""fjalë"" është për ""paragraf"" ashtu si ""ndarje"" për "
132,AL,këngëtar,bandë,këngëtar,"['kor', 'bandë', 'duet', 'trio', 'kuartet']","""këngëtar"" është për ""bandë"" ashtu si ""këngëtar"" për "
133,AL,sekretar,dhomë,këngë,"['album', 'përmbledhje', 'antologji', 'bibliotekë']","""sekretar"" është për ""dhomë"" ashtu si ""këngë"" për "
134,AL,libër,raft,anëtar,"['klub', 'skuadër', 'grup', 'bandë', 'komunitet']","""libër"" është për ""raft"" ashtu si ""anëtar"" për "
135,AL,kolegj,universitet,lojtar,"['skuadër', 'grup', 'orkestër']","""kolegj"" është për ""universitet"" ashtu si ""lojtar"" për "
136,AL,libër,kontabilitet,yll,"['yjësi', 'galaksi']","""libër"" është për ""kontabilitet"" ashtu si ""yll"" për "
137,AL,këngëtar,kuartet,makinë,"['tren', 'kortezh']","""këngëtar"" është për ""kuartet"" ashtu si ""makinë"" për "
138,AL,i_krishterë,kishë,elefant,['kope'],"""i_krishterë"" është për ""kishë"" ashtu si ""elefant"" për "
139,AL,bletë,koshere,bletë,"['roitje', 'koshere', 'koloni', 'grumbull', 'fole', 'tufë', 'mbajtëse']","""bletë"" është për ""koshere"" ashtu si ""bletë"" për "
140,AL,patë,tufë,bletë,"['roitje', 'koshere', 'koloni', 'grumbull', 'fole', 'tufë', 'mbajtëse']","""patë"" është për ""tufë"" ashtu si ""bletë"" për "
141,AL,anëtar,komunitet,faqe,"['libër', 'fletore', 'faqe_interneti']","""anëtar"" është për ""komunitet"" ashtu si ""faqe"" për "
142,AL,këngëtar,duet,fotografi,"['album', 'përmbledhje', 'bibliotekë']","""këngëtar"" është për ""duet"" ashtu si ""fotografi"" për "
143,AL,nxënës,klasë,faqe,"['libër', 'fletore', 'faqe_interneti']","""nxënës"" është për ""klasë"" ashtu si ""faqe"" për "
144,AL,bletë,koloni,ushtar,"['ushtri', 'njësi', 'divizion', 'trupë']","""bletë"" është për ""koloni"" ashtu si ""ushtar"" për "
145,AL,këngëtar,trio,luan,['grup_luanësh_femra'],"""këngëtar"" është për ""trio"" ashtu si ""luan"" për "
146,AL,këngë,album,punonjës,"['staf', 'kompani']","""këngë"" është për ""album"" ashtu si ""punonjës"" për "
147,AL,i_krishterë,kongregacion,qytetar,"['qytetari', 'vend', 'shtet']","""i_krishterë"" është për ""kongregacion"" ashtu si ""qytetar"" për "
148,AL,i_krishterë,famulli,libër,"['bibliotekë', 'raft', 'përmbledhje', 'kontabilitet', 'sistem_kontabiliteti', 'metodë_kontabiliteti']","""i_krishterë"" është për ""famulli"" ashtu si ""libër"" për "
149,AL,dele,tufë,libër,"['bibliotekë', 'raft', 'përmbledhje', 'kontabilitet', 'sistem_kontabiliteti', 'metodë_kontabiliteti']","""dele"" është për ""tufë"" ashtu si ""libër"" për "
150,BM,filɛri,caman,polisikɛla,['polisi'],"""filɛri"" is to ""caman"" as ""polisikɛla"" is to "
151,BM,sɔrɔdasi,kɛlɛbolo,yiri,"['kunko', 'yiriw', 'foro_kɔnɔ', 'tu,dɔgɔ']","""sɔrɔdasi"" is to ""kɛlɛbolo"" as ""yiri"" is to "
152,BM,jakumaden,ɲaman,lugaru,['wulukuluw'],"""jakumaden"" is to ""ɲaman"" as ""lugaru"" is to "
153,BM,gafe,jatebɔcogo_kɛcogo,kɔ̀nɔ,"['kuluw', 'kɔ̀nɔkuluw']","""gafe"" is to ""jatebɔcogo_kɛcogo"" as ""kɔ̀nɔ"" is to "
154,BM,"ja,_foto",albamu,furumuso,"['cɛ_ni_muso', 'jɛɲɔgɔnya', 'denbaya']","""ja,_foto"" is to ""albamu"" as ""furumuso"" is to "
155,BM,furumuso,jɛɲɔgɔnya,baarakɛla,"['baarakɛlaw', 'cakɛda']","""furumuso"" is to ""jɛɲɔgɔnya"" as ""baarakɛla"" is to "
156,BM,sekeretɛri,baarakɛlaw,bataki,"['alfabɛti,_siginikidenw']","""sekeretɛri"" is to ""baarakɛlaw"" as ""bataki"" is to "
157,BM,daɲɛ,kumasen,filɛri,"['caman', 'bandi']","""daɲɛ"" is to ""kumasen"" as ""filɛri"" is to "
158,BM,mɔgɔ,duniya,furumuso,"['cɛ_ni_muso', 'jɛɲɔgɔnya', 'denbaya']","""mɔgɔ"" is to ""duniya"" as ""furumuso"" is to "
159,BM,marabolo,jamana,jɔyɔrɔtigi,['kiritigɛjɛkulu'],"""marabolo"" is to ""jamana"" as ""jɔyɔrɔtigi"" is to "
160,BM,misiden,misiw,tɔnden_dɔ,"['kulɔbu', 'ekipu', 'jɛkulu', 'bandi', 'sigida']","""misiden"" is to ""misiw"" as ""tɔnden_dɔ"" is to "
161,BM,daɲɛ,dakun,tilayɔrɔba,"['cakɛda', 'jago', 'kɛlɛ_jɛkulu']","""daɲɛ"" is to ""dakun"" as ""tilayɔrɔba"" is to "
162,BM,dɔnkilidala,bandi,dɔnkilidala,"['dɔnkilidalakulu', 'bandi', 'fila', 'saba', 'naani']","""dɔnkilidala"" is to ""bandi"" as ""dɔnkilidala"" is to "
163,BM,sekeretɛri,so,dɔnkili,"['albamu', 'farankan', 'antolozi', 'gafekalanyɔrɔ']","""sekeretɛri"" is to ""so"" as ""dɔnkili"" is to "
164,BM,gafe,mɛ̀mɛ,tɔnden_dɔ,"['kulɔbu', 'ekipu', 'jɛkulu', 'bandi', 'sigida']","""gafe"" is to ""mɛ̀mɛ"" as ""tɔnden_dɔ"" is to "
165,BM,kolɛzi,kalansoba,ntolatanna,"['ekipu', 'jɛkulu', 'fɔlikɛkulu']","""kolɛzi"" is to ""kalansoba"" as ""ntolatanna"" is to "
166,BM,gafe,jatebɔ,dolo,['dolow_kuluba'],"""gafe"" is to ""jatebɔ"" as ""dolo"" is to "
167,BM,dɔnkilidala,naani,mɔbili,"['tɛrɛn', 'taama-taama']","""dɔnkilidala"" is to ""naani"" as ""mɔbili"" is to "
168,BM,kerecɛnw,egilisi,sama,['samakuluw'],"""kerecɛnw"" is to ""egilisi"" as ""sama"" is to "
169,BM,diden,diwaka,diden,"['didenkuluw', 'diwaka', 'didenkulu', 'bɔlen_don', 'ka_yelen', 'ɲaa', 'jamakulu', 'ka_jɔ']","""diden"" is to ""diwaka"" as ""diden"" is to "
170,BM,uwa,uwakulu,diden,"['didenkuluw', 'diwaka', 'didenkulu', 'bɔlen_don', 'ka_yelen', 'ɲaa', 'jamakulu', 'ka_jɔ']","""uwa"" is to ""uwakulu"" as ""diden"" is to "
171,BM,tɔnden_dɔ,sigida,ɲɛ,"['gafe', 'kaye_sɛbɛn', 'siti_in_kan']","""tɔnden_dɔ"" is to ""sigida"" as ""ɲɛ"" is to "
172,BM,dɔnkilidala,fila,"ja,_foto","['albamu', 'farankan', 'gafekalanyɔrɔ']","""dɔnkilidala"" is to ""fila"" as ""ja,_foto"" is to "
173,BM,kalanden,kilasi,ɲɛ,"['gafe', 'kaye_sɛbɛn', 'siti_in_kan']","""kalanden"" is to ""kilasi"" as ""ɲɛ"" is to "
174,BM,diden,didenkulu,sɔrɔdasi,"['kɛlɛbolo', 'inite', 'tilayɔrɔba', 'sɔrɔdasikulu']","""diden"" is to ""didenkulu"" as ""sɔrɔdasi"" is to "
175,BM,dɔnkilidala,saba,"wara,_waraba",['kuncɛbaya'],"""dɔnkilidala"" is to ""saba"" as ""wara,_waraba"" is to "
176,BM,dɔnkili,albamu,baarakɛla,"['baarakɛlaw', 'cakɛda']","""dɔnkili"" is to ""albamu"" as ""baarakɛla"" is to "
