,ID,Relation,Source,Target,DE
231,,,,essential,essenziell
232,,,,indispensable,unverzichtbar
233,,,,vital,entscheidend
234,,,,required,erforderlich
236,L07_33,synonyms - intensity,opposed,,entgegengesetzt
237,,,,averse,zuwider
238,,,,antipathetic,abgeneigt
239,,,,antipathetical,DUPLICATE_abgeneigt
240,,,,indisposed,indisponiert
241,,,,loath,unwillig
242,,,,loth,DUPLICATE_unwillig
243,,,,,"unvereinbar,antagonistisch"
244,L07_34,synonyms - intensity,pain,,Schmerz
245,,,,torment,Qual
246,,,,torture,Folter
247,,,,agony,Pein
249,L07_35,synonyms - intensity,pony,,Pony
250,,,,horse,Pferd
252,L07_36,synonyms - intensity,poorly,,kränklich
253,,,,afflicted,beeinträchtigt
254,,,,sick,erkrankt
255,,,,ill,krank
256,,,,stricken,angeschlagen
258,L07_37,synonyms - intensity,rain,,Regen
259,,,,deluge,Wolkenbruch
260,,,,shower,Schauer
262,L07_38,synonyms - intensity,sad,,traurig
263,,,,desparate,verzweifelt
264,,,,despondent,niedergeschlagen
265,,,,despairing,verzweifelnd
266,,,,desponding,verzagend
267,,,,forlorn,verloren
268,,,,hopeless,hoffnungslos
269,,,,melancholy,melancholisch
272,L07_39,synonyms - intensity,sea,,Meer
273,,,,ocean,Ozean
275,L07_40,synonyms - intensity,snack,,Snack
276,,,,meal,Mahlzeit
277,,,,eat,Essen
279,L07_41,synonyms - intensity,sniffles,,Schnupfen
280,,,,pneumonia,Lungenentzündung
282,L07_42,synonyms - intensity,soon,,zeitnah
283,,,,immediately,umgehend
284,,,,promptly,prompt
285,,,,straightaway,sofort
287,L07_43,synonyms - intensity,strong,,stark
288,,,,powerful,mächtig
289,,,,forceful,kraftvoll
290,,,,super,super
291,,,,potent,potent
293,L07_44,synonyms - intensity,tasty,,wohlschmeckend
294,,,,delicious,vorzüglich
295,,,,delectable,DUPLICATE_köstlich
296,,,,luscious,DUPLICATE_köstlich
297,,,,pleasant-tasting,wohlschmeckend
298,,,,scrumptious,fabelhaft
299,,,,toothsome,schmackhaft
300,,,,yummy,lecker
301,,,,mouth-watering,appetitlich
302,,,,ambrosial,köstlich
303,,,,heavenly,himmlisch
304,,,,,"exquisit,ausgezeichnet"
305,L07_45,synonyms - intensity,tired,,müde
306,,,,exhausted,ausgelaugt
307,,,,drained,erschöpft
309,L07_46,synonyms - intensity,unfortunate,,unglückselig
310,,,,tragic,tragisch
311,,,,woeful,elend
312,,,,grievous,schmerzlich
313,,,,wretched,erbärmlich
314,,,,miserable,miserabel
315,,,,awful,schrecklich
316,,,,lamentable,bedauernswert
317,,,,regrettable,bedauerlich
318,,,,desperate,verzweifelt
319,,,,hopeless,hoffnungslos
320,,,,disastrous,verheerend
322,L07_47,synonyms - intensity,unhappy,,unglücklich
323,,,,miserable,miserabel
324,,,,suffering,leidend
325,,,,wretched,erbärmlich
327,L07_48,synonyms - intensity,want,,wollen
328,,,,crave,ersehnen
329,,,,hunger,hungern
330,,,,thirst,dürsten
331,,,,starve,verhungern
332,,,,lust,begehren
334,L07_49,synonyms - intensity,warm,,warm
335,,,,hot,heiß
336,,,,fiery,feurig
337,,,,flaming,lodernd
338,,,,heated,erhitzt
339,,,,red-hot,glühend_heiß
340,,,,sizzling,brutzelnd
341,,,,sensual,lüstern
342,,,,sultry,heißblütig
343,,,,torrid,glühend
344,,,,white-hot,weißglühend
346,L07_50,synonyms - intensity,well,,wohlauf
347,,,,flourishing,florierend
348,,,,robust,widerstandsfähig
349,,,,booming,boomen
350,,,,prospering,prosperiere
351,,,,prosperous,gedeihend
352,,,,thriving,blühend
