,ID,Relation,Source,Target,ES
265,,,,despairing,en_desgracia
266,,,,desponding,con_abatimiento
267,,,,forlorn,desamparado
268,,,,hopeless,desesperanzado
269,,,,melancholy,melancólico
272,L07_39,synonyms - intensity,sea,,mar
273,,,,ocean,océano
275,L07_40,synonyms - intensity,snack,,tentempié
276,,,,meal,comida
277,,,,eat,comer
279,L07_41,synonyms - intensity,sniffles,,mocos
280,,,,pneumonia,neumonía
282,L07_42,synonyms - intensity,soon,,pronto
283,,,,immediately,inmediatamente
284,,,,promptly,con_presteza
285,,,,straightaway,al_momento
287,L07_43,synonyms - intensity,strong,,fuerte
288,,,,powerful,con_poderío
289,,,,forceful,con_fuerza
290,,,,super,super
291,,,,potent,potente
293,L07_44,synonyms - intensity,tasty,,sabroso
294,,,,delicious,delicioso
295,,,,delectable,exquisito
296,,,,luscious,lujurioso
297,,,,pleasant-tasting,de_sabor_agradable
298,,,,scrumptious,delicia
299,,,,toothsome,apetitoso
300,,,,yummy,rico
301,,,,mouth-watering,boca_agua
302,,,,ambrosial,ambrosial
303,,,,heavenly,celestial
305,L07_45,synonyms - intensity,tired,,cansado
306,,,,exhausted,exhausto
307,,,,drained,agotado
309,L07_46,synonyms - intensity,unfortunate,,desafortunado
310,,,,tragic,trágico
311,,,,woeful,quejica
312,,,,grievous,en_duelo
313,,,,wretched,roto
314,,,,miserable,miserable
315,,,,awful,terrible
316,,,,lamentable,lamentable
317,,,,regrettable,arrepentido
318,,,,desperate,desesperado
319,,,,hopeless,desesperanzado
320,,,,disastrous,desastroso
322,L07_47,synonyms - intensity,unhappy,,infeliz
323,,,,miserable,miserable
324,,,,suffering,con_sufrimiento
325,,,,wretched,roto
327,L07_48,synonyms - intensity,want,,querer
328,,,,crave,apetecer
329,,,,hunger,tener_hambre
330,,,,thirst,tener_sed
331,,,,starve,estar_hambriento
332,,,,lust,tener_ganas
334,L07_49,synonyms - intensity,warm,,cálildo
335,,,,hot,caliente
336,,,,fiery,fiero
337,,,,flaming,en_llamas
338,,,,heated,calentado
339,,,,red-hot,al_rojo_vivo
340,,,,sizzling,hirviente
341,,,,sensual,sensual
342,,,,sultry,bochornoso
343,,,,torrid,tórrido
344,,,,white-hot,quemando
346,L07_50,synonyms - intensity,well,,bien
347,,,,flourishing,florenciente
348,,,,robust,robusto
349,,,,booming,boom
350,,,,prospering,próspero
351,,,,prosperous,DUPLICATE_próspero
352,,,,thriving,con_ganas
353,,,,,desarrolado
